Name,Website,Industry,Country,Funding_Amount_USD,Funding_Type,Last_Funding_Date
AQUA Exploración,aquaexploracion.mx,"Environment, Utilities",Mexico,,Series A,May 2024
Aplazo,aplazo.mx,Finance,Mexico,45000000,Series B,May 2024
Exthymic,exthymic.com,"Healthcare, Mental Health, Wellness",Mexico,10249992,Seed,May 2024
Worky,worky.mx,"Human Resources, Cloud Computing, B2C Software",Mexico,6000000,Series A,May 2024
Welbe Care,welbecare.com,"Healthcare, Wellness",Mexico,7000000,Series A,May 2024
Crezes,crezes.com,,Mexico,750000,Pre-Seed,Apr 2024
Pulsar,pulsarml.com,"Analytics, Manufacturing, B2B Software",Mexico,8000000,Venture - Series Unknown,Mar 2024
YoFio,yofio.co,,Mexico,10000000,Seed,Mar 2024
Grupago,grupago.mx,,Mexico,4300000,Seed,Mar 2024
techreo,techreo.mx,"FinTech, Finance, B2B Software",Mexico,3400000,Seed,Feb 2024
ViajaClick,viajaclick.com,"Travel, Hospitality, Cloud Computing, B2B Software",Mexico,500000,Seed,Feb 2024
Climafy,climafy.app,B2B Software,Mexico,,Pre-Seed,Jan 2024
Meefi,meefi.io,"B2B Software, Cloud Computing, Artificial Intelligence",Mexico,100000,Pre-Seed,Jan 2024
MultiON,multion.com,"Cloud Computing, Artificial Intelligence, B2B Software",Mexico,111111,Seed,Jan 2024
Baja Aqua Farms,bajaaquafarms.com,"Agriculture, B2B Software",Mexico,,Venture - Series Unknown,Dec 2023
Zubale,zubale.com,,Mexico,25000000,Venture - Series Unknown,Dec 2023
Avify,avify.com,"Sales, Cloud Computing, B2B Software",Mexico,800000,Pre-Seed,Dec 2023
Galactic Holdings,galactic.holdings,"Blockchain, B2B Software",Mexico,6250000,Series A,Nov 2023
Moons,mymoons.mx,Healthcare,Mexico,2942999,Venture - Series Unknown,Nov 2023
Koltin,koltin.mx,"Healthcare, B2B Software",Mexico,2800000,Seed,Oct 2023
Nexu,www.nexu.mx,"Automotive, Finance, B2B Software",Mexico,20000000,Series B,Oct 2023
Vopero,vopero.com,"Fashion, Marketplace, B2B Software",Mexico,4000000,Venture - Series Unknown,Oct 2023
Finerio,www.finerio.mx,,Mexico,6500000,Venture - Series Unknown,Oct 2023
Veloz Bio,velozbio.com,"Food and Beverage, Biotechnology, Manufacturing",Mexico,4000000,Seed,Sep 2023
Devolut,www.devolut.tech,"Mobile, B2B Software",Mexico,600000,Pre-Seed,Sep 2023
Leadsales,leadsales.io,"Sales, Social Network, Advertising, Marketing, B2B Software",Mexico,3700000,Seed,Sep 2023
Gabu,playgabu.com,"Email, Cloud Computing",Mexico,120000,Pre-Seed,Sep 2023
Fuddis,www.fuddis.com,Food and Beverage,Mexico,120000,Pre-Seed,Sep 2023
Balam,www.getbalam.com.mx,"FinTech, Finance",Mexico,400000,Pre-Seed,Aug 2023
Hospitales MAC,hospitalesmac.com,Healthcare,Mexico,160000000,Private Equity,Jul 2023
Vetalia,www.vetalia.com.mx,"Pets, B2C Software",Mexico,10000000,Venture - Series Unknown,Jul 2023
