Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
Standard MLP (baseline),0.7498116051243406,0.8022232515053266,0.6578047854158754,0.7228714524207012,0.8249797856820869,0.8378928126089478
XGBoost (baseline),0.7675207234363225,0.7990594271056007,0.7098366881883783,0.7518101367658889,0.8439693892400908,0.8563382993317152
TabNet (baseline),0.7575357950263752,0.7681274900398406,0.7322445879225218,0.7497569511958001,0.8344535745090174,0.8493097498823883
Proposed SFTNN,0.7577241899020347,0.7747858017135862,0.7212305355108242,0.7470495672698663,0.8377146284931372,0.8454515924529655
