Region,Baseline,Metric,P(SFTNN_better),P(SFTNN_worse),P(tie),n_paired_boot
AGGREGATE,Standard MLP (baseline),Accuracy,0.186,0.799,0.015000000000000013,2000
AGGREGATE,Standard MLP (baseline),Precision,0.1745,0.824,0.0015000000000000568,2000
AGGREGATE,Standard MLP (baseline),Recall,0.3555,0.602,0.04250000000000009,2000
AGGREGATE,Standard MLP (baseline),F1,0.223,0.7755,0.0015000000000000568,2000
AGGREGATE,Standard MLP (baseline),ROC-AUC,0.8835,0.1165,4.163336342344337e-17,2000
AGGREGATE,Standard MLP (baseline),PR-AUC,0.6625,0.3375,0.0,2000
AGGREGATE,XGBoost (baseline),Accuracy,0.0,1.0,0.0,2000
AGGREGATE,XGBoost (baseline),Precision,0.0,1.0,0.0,2000
AGGREGATE,XGBoost (baseline),Recall,1.0,0.0,0.0,2000
AGGREGATE,XGBoost (baseline),F1,0.457,0.543,-1.1102230246251565e-16,2000
AGGREGATE,XGBoost (baseline),ROC-AUC,0.004,0.996,0.0,2000
AGGREGATE,XGBoost (baseline),PR-AUC,0.0,1.0,0.0,2000
AGGREGATE,TabNet (baseline),Accuracy,0.0635,0.926,0.010499999999999954,2000
AGGREGATE,TabNet (baseline),Precision,0.0,1.0,0.0,2000
AGGREGATE,TabNet (baseline),Recall,0.9995,0.0005,-5.5077470362263625e-17,2000
AGGREGATE,TabNet (baseline),F1,0.5465,0.4535,0.0,2000
AGGREGATE,TabNet (baseline),ROC-AUC,0.8885,0.1115,4.163336342344337e-17,2000
AGGREGATE,TabNet (baseline),PR-AUC,0.0615,0.9385,0.0,2000
Africa,Standard MLP (baseline),Accuracy,0.6025,0.19,0.20749999999999996,2000
Africa,Standard MLP (baseline),Precision,0.106,0.572,0.32200000000000006,2000
Africa,Standard MLP (baseline),Recall,0.876,0.0,0.124,2000
Africa,Standard MLP (baseline),F1,0.8375,0.1065,0.05599999999999998,2000
Africa,Standard MLP (baseline),ROC-AUC,0.903951975987994,0.08404202101050526,0.012006003001500704,1999
Africa,Standard MLP (baseline),PR-AUC,0.887943971985993,0.10455227613806903,0.0075037518759380195,1999
Africa,XGBoost (baseline),Accuracy,0.3395,0.351,0.3095,2000
Africa,XGBoost (baseline),Precision,0.0245,0.6265,0.3490000000000001,2000
Africa,XGBoost (baseline),Recall,0.6365,0.0,0.36350000000000005,2000
Africa,XGBoost (baseline),F1,0.5705,0.2875,0.14200000000000002,2000
Africa,XGBoost (baseline),ROC-AUC,0.5812906453226613,0.3371685842921461,0.08154077038519264,1999
Africa,XGBoost (baseline),PR-AUC,0.5622811405702851,0.3886943471735868,0.04902451225612808,1999
Africa,TabNet (baseline),Accuracy,0.876,0.0,0.124,2000
Africa,TabNet (baseline),Precision,0.599,0.0,0.401,2000
Africa,TabNet (baseline),Recall,0.876,0.0,0.124,2000
Africa,TabNet (baseline),F1,0.876,0.0,0.124,2000
Africa,TabNet (baseline),ROC-AUC,0.9769884942471235,0.01250625312656328,0.01050525262631319,1999
Africa,TabNet (baseline),PR-AUC,0.9204602301150575,0.07153576788394198,0.008004002001000515,1999
East Asia,Standard MLP (baseline),Accuracy,0.1985,0.7175,0.08399999999999996,2000
East Asia,Standard MLP (baseline),Precision,0.4195,0.578,0.0025000000000000577,2000
East Asia,Standard MLP (baseline),Recall,0.004,0.9885,0.007499999999999951,2000
East Asia,Standard MLP (baseline),F1,0.0515,0.9485,0.0,2000
East Asia,Standard MLP (baseline),ROC-AUC,0.158,0.84,0.0020000000000000018,2000
East Asia,Standard MLP (baseline),PR-AUC,0.108,0.892,0.0,2000
East Asia,XGBoost (baseline),Accuracy,0.0855,0.8815,0.03300000000000003,2000
East Asia,XGBoost (baseline),Precision,0.0405,0.958,0.0015000000000000568,2000
East Asia,XGBoost (baseline),Recall,0.6785,0.2245,0.097,2000
East Asia,XGBoost (baseline),F1,0.3245,0.674,0.0014999999999999458,2000
East Asia,XGBoost (baseline),ROC-AUC,0.08,0.9185,0.0015000000000000568,2000
East Asia,XGBoost (baseline),PR-AUC,0.0955,0.9045,0.0,2000
East Asia,TabNet (baseline),Accuracy,0.406,0.5345,0.0595,2000
East Asia,TabNet (baseline),Precision,0.441,0.544,0.014999999999999902,2000
East Asia,TabNet (baseline),Recall,0.304,0.547,0.1489999999999999,2000
East Asia,TabNet (baseline),F1,0.3885,0.5975,0.013999999999999901,2000
East Asia,TabNet (baseline),ROC-AUC,0.4705,0.5295,1.1102230246251565e-16,2000
East Asia,TabNet (baseline),PR-AUC,0.079,0.921,0.0,2000
Europe,Standard MLP (baseline),Accuracy,0.484,0.4715,0.04450000000000004,2000
Europe,Standard MLP (baseline),Precision,0.943,0.057,4.85722573273506e-17,2000
Europe,Standard MLP (baseline),Recall,0.003,0.995,0.0020000000000000018,2000
Europe,Standard MLP (baseline),F1,0.133,0.867,0.0,2000
Europe,Standard MLP (baseline),ROC-AUC,0.8625,0.137,0.0004999999999999449,2000
Europe,Standard MLP (baseline),PR-AUC,0.663,0.337,-5.551115123125783e-17,2000
Europe,XGBoost (baseline),Accuracy,0.0005,0.998,0.0015000000000000568,2000
Europe,XGBoost (baseline),Precision,0.0,1.0,0.0,2000
Europe,XGBoost (baseline),Recall,0.8015,0.163,0.035500000000000004,2000
Europe,XGBoost (baseline),F1,0.1135,0.8865,0.0,2000
Europe,XGBoost (baseline),ROC-AUC,0.0935,0.9065,0.0,2000
Europe,XGBoost (baseline),PR-AUC,0.0055,0.9945,0.0,2000
Europe,TabNet (baseline),Accuracy,0.2955,0.6725,0.03200000000000003,2000
Europe,TabNet (baseline),Precision,0.7555,0.244,0.000500000000000056,2000
Europe,TabNet (baseline),Recall,0.0085,0.9875,0.0040000000000000036,2000
Europe,TabNet (baseline),F1,0.0865,0.913,0.0004999999999999449,2000
Europe,TabNet (baseline),ROC-AUC,0.481,0.5185,0.000500000000000056,2000
Europe,TabNet (baseline),PR-AUC,0.0605,0.9395,0.0,2000
Latin America,Standard MLP (baseline),Accuracy,0.4395,0.403,0.15749999999999997,2000
Latin America,Standard MLP (baseline),Precision,0.709,0.271,0.020000000000000018,2000
Latin America,Standard MLP (baseline),Recall,0.0,0.8595,0.14049999999999996,2000
Latin America,Standard MLP (baseline),F1,0.296,0.682,0.02199999999999991,2000
Latin America,Standard MLP (baseline),ROC-AUC,0.12,0.8775,0.0025000000000000577,2000
Latin America,Standard MLP (baseline),PR-AUC,0.047,0.953,0.0,2000
Latin America,XGBoost (baseline),Accuracy,0.094,0.782,0.124,2000
Latin America,XGBoost (baseline),Precision,0.068,0.8555,0.0764999999999999,2000
Latin America,XGBoost (baseline),Recall,0.186,0.6055,0.20850000000000002,2000
Latin America,XGBoost (baseline),F1,0.1625,0.763,0.07450000000000001,2000
Latin America,XGBoost (baseline),ROC-AUC,0.072,0.9275,0.000500000000000056,2000
Latin America,XGBoost (baseline),PR-AUC,0.0085,0.9915,0.0,2000
Latin America,TabNet (baseline),Accuracy,0.0905,0.8255,0.08399999999999996,2000
Latin America,TabNet (baseline),Precision,0.011,0.9835,0.005499999999999949,2000
Latin America,TabNet (baseline),Recall,0.606,0.178,0.21600000000000003,2000
Latin America,TabNet (baseline),F1,0.314,0.673,0.0129999999999999,2000
Latin America,TabNet (baseline),ROC-AUC,0.6455,0.3535,0.0010000000000000564,2000
Latin America,TabNet (baseline),PR-AUC,0.313,0.687,0.0,2000
North America,Standard MLP (baseline),Accuracy,0.2115,0.766,0.022499999999999964,2000
North America,Standard MLP (baseline),Precision,0.016,0.984,0.0,2000
North America,Standard MLP (baseline),Recall,0.9955,0.0035,0.0009999999999999484,2000
North America,Standard MLP (baseline),F1,0.5055,0.4945,5.551115123125783e-17,2000
North America,Standard MLP (baseline),ROC-AUC,0.457,0.543,-1.1102230246251565e-16,2000
North America,Standard MLP (baseline),PR-AUC,0.6905,0.3095,0.0,2000
North America,XGBoost (baseline),Accuracy,0.037,0.959,0.0040000000000000036,2000
North America,XGBoost (baseline),Precision,0.0,1.0,0.0,2000
North America,XGBoost (baseline),Recall,1.0,0.0,0.0,2000
North America,XGBoost (baseline),F1,0.852,0.148,2.7755575615628914e-17,2000
North America,XGBoost (baseline),ROC-AUC,0.027,0.973,0.0,2000
North America,XGBoost (baseline),PR-AUC,0.019,0.981,0.0,2000
North America,TabNet (baseline),Accuracy,0.1355,0.8475,0.017000000000000015,2000
North America,TabNet (baseline),Precision,0.0,1.0,0.0,2000
North America,TabNet (baseline),Recall,1.0,0.0,0.0,2000
North America,TabNet (baseline),F1,0.816,0.184,5.551115123125783e-17,2000
North America,TabNet (baseline),ROC-AUC,0.795,0.205,-2.7755575615628914e-17,2000
North America,TabNet (baseline),PR-AUC,0.321,0.679,0.0,2000
South Asia,Standard MLP (baseline),Accuracy,0.947,0.024,0.029000000000000047,2000
South Asia,Standard MLP (baseline),Precision,0.9015,0.084,0.014500000000000027,2000
South Asia,Standard MLP (baseline),Recall,0.9545,0.0,0.045499999999999985,2000
South Asia,Standard MLP (baseline),F1,0.9825,0.009,0.00849999999999996,2000
South Asia,Standard MLP (baseline),ROC-AUC,1.0,0.0,0.0,2000
South Asia,Standard MLP (baseline),PR-AUC,1.0,0.0,0.0,2000
South Asia,XGBoost (baseline),Accuracy,0.127,0.7865,0.08650000000000002,2000
South Asia,XGBoost (baseline),Precision,0.0065,0.9925,0.0010000000000000009,2000
South Asia,XGBoost (baseline),Recall,0.9585,0.0,0.04149999999999998,2000
South Asia,XGBoost (baseline),F1,0.5225,0.472,0.00550000000000006,2000
South Asia,XGBoost (baseline),ROC-AUC,0.7555,0.239,0.00550000000000006,2000
South Asia,XGBoost (baseline),PR-AUC,0.709,0.291,5.551115123125783e-17,2000
South Asia,TabNet (baseline),Accuracy,0.5925,0.2835,0.124,2000
South Asia,TabNet (baseline),Precision,0.2535,0.7335,0.0129999999999999,2000
South Asia,TabNet (baseline),Recall,0.98,0.0,0.020000000000000018,2000
South Asia,TabNet (baseline),F1,0.904,0.0925,0.0034999999999999754,2000
South Asia,TabNet (baseline),ROC-AUC,0.9995,0.0005,-5.5077470362263625e-17,2000
South Asia,TabNet (baseline),PR-AUC,0.9985,0.0015,-5.421010862427522e-17,2000
Southeast Asia,Standard MLP (baseline),Accuracy,0.001,0.9965,0.0024999999999999467,2000
Southeast Asia,Standard MLP (baseline),Precision,0.0,1.0,0.0,2000
Southeast Asia,Standard MLP (baseline),Recall,0.1885,0.6125,0.19899999999999995,2000
Southeast Asia,Standard MLP (baseline),F1,0.0125,0.9875,0.0,2000
Southeast Asia,Standard MLP (baseline),ROC-AUC,0.132,0.866,0.0020000000000000018,2000
Southeast Asia,Standard MLP (baseline),PR-AUC,0.245,0.755,0.0,2000
Southeast Asia,XGBoost (baseline),Accuracy,0.0245,0.9605,0.015000000000000013,2000
Southeast Asia,XGBoost (baseline),Precision,0.002,0.998,0.0,2000
Southeast Asia,XGBoost (baseline),Recall,0.7335,0.15,0.11649999999999996,2000
Southeast Asia,XGBoost (baseline),F1,0.2155,0.7785,0.006000000000000005,2000
Southeast Asia,XGBoost (baseline),ROC-AUC,0.061,0.9375,0.0015000000000000568,2000
