Model,Region,n,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
Exp#9 + MC-Dropout,Africa,24,0.875,0.8,0.6666666666666666,0.7272727272727273,0.8333333333333334,0.7484649122807018
Exp#9 + MC-Dropout,East Asia,244,0.6639344262295082,0.6210526315789474,0.5619047619047619,0.59,0.7080507022953065,0.683966936815165
Exp#9 + MC-Dropout,Europe,1159,0.7540983606557377,0.7222222222222222,0.6203904555314533,0.6674445740956826,0.8267749815089906,0.7896153548531005
Exp#9 + MC-Dropout,Latin America,105,0.7619047619047619,0.7241379310344828,0.5526315789473685,0.6268656716417911,0.8161822466614297,0.7705000569045781
Exp#9 + MC-Dropout,North America,3589,0.7578712733351909,0.7593301435406699,0.8125960061443932,0.7850605985654218,0.8419198975433694,0.8669566978207797
Exp#9 + MC-Dropout,South Asia,111,0.7837837837837838,0.71875,0.6052631578947368,0.6571428571428571,0.8453496755587601,0.7854236616778425
Exp#9 + MC-Dropout,Southeast Asia,76,0.6578947368421053,0.5833333333333334,0.65625,0.6176470588235294,0.7428977272727273,0.7416569115577951
