Region,n,Recall (region-specific),Recall (mean embedding),F1 (region-specific),F1 (mean embedding),Recall_drop,F1_drop
Africa,24,0.6666666666666666,0.6666666666666666,0.7272727272727273,0.7272727272727273,0.0,0.0
East Asia,244,0.5714285714285714,0.580952380952381,0.5911330049261084,0.5980392156862745,-0.009523809523809601,-0.006906210760166065
Europe,1159,0.6160520607375272,0.6550976138828634,0.6818727490996399,0.6863636363636364,-0.0390455531453362,-0.00449088726399649
Latin America,105,0.5,0.5,0.6229508196721312,0.6229508196721312,0.0,0.0
North America,3589,0.7885304659498208,0.738863287250384,0.7833163784333672,0.7653142402545744,0.04966717869943682,0.018002138178792815
South Asia,111,0.5789473684210527,0.5789473684210527,0.6470588235294118,0.6470588235294118,0.0,0.0
Southeast Asia,76,0.625,0.625,0.625,0.625,0.0,0.0
