Model,Region,n,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
Exp#7 + MC-Dropout,Africa,24,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.7398148148148148
Exp#7 + MC-Dropout,East Asia,244,0.6598360655737705,0.6122448979591837,0.5714285714285714,0.5911330049261084,0.7088729016786571,0.7019548281523925
Exp#7 + MC-Dropout,Europe,1159,0.7696289905090595,0.7566137566137566,0.6203904555314533,0.6817640047675805,0.8263274680058922,0.7887142213811463
Exp#7 + MC-Dropout,Latin America,105,0.7904761904761904,0.8333333333333334,0.5263157894736842,0.6451612903225806,0.8126472898664572,0.7709365887010201
Exp#7 + MC-Dropout,North America,3589,0.7609361939258846,0.7741612418627942,0.7916026625704045,0.7827848101265823,0.8421433641679718,0.8661471261604683
Exp#7 + MC-Dropout,South Asia,111,0.7837837837837838,0.7333333333333333,0.5789473684210527,0.6470588235294118,0.8320115356885364,0.7748672338626249
Exp#7 + MC-Dropout,Southeast Asia,76,0.6578947368421053,0.59375,0.59375,0.59375,0.7357954545454545,0.7209437199025741
