Region,n,Recall (region-specific),Recall (mean embedding),F1 (region-specific),F1 (mean embedding),Recall_drop,F1_drop
Africa,24,0.5,0.5,0.6,0.6,0.0,0.0
East Asia,244,0.5619047619047619,0.5619047619047619,0.5728155339805825,0.5728155339805825,0.0,0.0
Europe,1159,0.6052060737527115,0.6268980477223427,0.672289156626506,0.6768149882903981,-0.021691973969631184,-0.004525831663892088
Latin America,105,0.5526315789473685,0.47368421052631576,0.6461538461538462,0.6101694915254238,0.07894736842105271,0.03598435462842242
North America,3589,0.7654889912954429,0.7363031233998976,0.7774310972438897,0.7683676195565055,0.029185867895545337,0.009063477687384247
South Asia,111,0.5526315789473685,0.5526315789473685,0.6461538461538462,0.6461538461538462,0.0,0.0
Southeast Asia,76,0.65625,0.65625,0.6774193548387096,0.6774193548387096,0.0,0.0
