Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
Standard MLP (baseline),0.7545214770158252,0.7526595744680851,0.7523737181921762,0.7525166191832858,0.8355357415406897,0.8440516235875891
XGBoost (baseline),0.7667671439336851,0.7992277992277992,0.7075579187238891,0.7506043513295729,0.8437574139871012,0.854792254933892
TabNet (baseline),0.7575357950263752,0.7681274900398406,0.7322445879225218,0.7497569511958001,0.8344535745090174,0.8493097498823883
Proposed SFTNN,0.7530143180105501,0.7483095416979715,0.7565514622104064,0.7524079320113315,0.836531798062691,0.8460569462911638
