Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry Vertical,City / Location,Investors’ Name,InvestmentType,Amount (in USD),Remarks,Year,Source_File
61.0,21/7/2015,Joy by nature,Organic Food ecommerce,New Delhi,"Mumbai Angels, Vriddhi Fund, Others",Private Equity,"1,000,000",Series A,2015,Jul_2015.csv
62.0,22/7/2015,Iqlect,Big Data & Analytics platform,Bangalore,Exfinity Venture Partners,Private Equity,"2,000,000",Series A,2015,Jul_2015.csv
63.0,22/7/2015,deGustibus,Fine Dining Restaurant Chain,Mumbai,India Value Fund Advisors,Private Equity,"30,000,000",Late Stage,2015,Jul_2015.csv
64.0,23/7/2015,Nestaway,Luxury Rental Homes,Bangalore,"Flipkart, Tiger Global",Private Equity,"12,750,000",Series A,2015,Jul_2015.csv
65.0,23/7/2015,Mswipe,Mobile Point of Sale payment solution,,"Falcon Edge Capital, Meru Capital, Ola, Matrix Partners, DSG Consumer Partners, Axis Bank",Private Equity,"25,000,000",Series B,2015,Jul_2015.csv
66.0,23/7/2015,Myonsto,Online Grocers,Ahmedabad,Jayant Bokadia,Seed Funding,"320,000",,2015,Jul_2015.csv
67.0,23/7/2015,iCrushiFlush,Casual Dating App,Mumbai,IDG Ventures India,Seed Funding,,,2015,Jul_2015.csv
68.0,23/7/2015,MedGenome,Clinical Genomics Provider,Bangalore,Sequoia Capital,Private Equity,"20,000,000",Series B,2015,Jul_2015.csv
69.0,23/7/2015,HolidayIQ,Travel information portal,Bangalore,MakeMyTrip,Private Equity,"15,000,000",Strategic Investment,2015,Jul_2015.csv
70.0,23/7/2015,Fitternity,Fitness Marketplace,Mumbai,Exfinity Venture Partners,Private Equity,"1,000,000",Series A,2015,Jul_2015.csv
71.0,23/7/2015,Quikr,Online & Mobile classified listings,Mumbai,"AB Kinnevik, Falcon Edge Capital, Coatue Management",Private Equity,"60,000,000",Late Stage,2015,Jul_2015.csv
72.0,23/7/2015,JetSetGo,Private Jet/ Helicopter Marketplace,New Delhi,YourWeCan Ventures,Seed Funding,,,2015,Jul_2015.csv
73.0,24/7/2015,BroEx,Real Estate Broker network App,Gurgaon,Lightspeed India,Private Equity,"1,000,000",Bridge round,2015,Jul_2015.csv
74.0,25/7/2015,Shopatplaces,Ethnic/ Traditional Fashion Store,New Delhi,Indian Angel Network,Seed Funding,,,2015,Jul_2015.csv
75.0,25/7/2015,CredR,Used Bikes Marketplace,Mumbai,Fidelity Growth Partners,Private Equity,"15,000,000",Series A,2015,Jul_2015.csv
76.0,27/7/2015,ManageMySpa,Spa & Salon Management Software,Hyderabad,Accel Partners,Private Equity,"6,000,000",Series A,2015,Jul_2015.csv
77.0,27/7/2015,Townrush,B2B logistics delivery platform,Bangalore,Lightspeed Venture Partners,Seed Funding,,,2015,Jul_2015.csv
78.0,27/7/2015,Locus,Logistics Automation Platform,Bangalore,"growX ventures,  Manish Singhal",Seed Funding,,,2015,Jul_2015.csv
79.0,27/7/2015,Bevy,Online Hiring Platform,Bangalore,Varun Agarwal & Others,Seed Funding,,,2015,Jul_2015.csv
80.0,28/7/2015,Pepperfry,Online home décor marketplace,Mumbai,"Goldman Sachs, Zodius Technology Fund, Bertelsmann India Investments Norwest Venture Partners.",Private Equity,"100,000,000",Series D,2015,Jul_2015.csv
81.0,28/7/2015,Flipkart.com,Online Marketplace,Bangalore,Steadview Capital and existing investors,Private Equity,"700,000,000","Late Stage, 10th RoundMore here",2015,Jul_2015.csv
82.0,28/7/2015,Opinio,Hyperlocal food & grocery store,Bangalore,"Accel Partners, Traxcn Labs & Others",Seed Funding,"1,300,000",,2015,Jul_2015.csv
83.0,28/7/2015,Zoctr,Health-Tech platform,Mumbai,"Sandeep Parwal, Krishan Gupta & Others",Seed Funding,"1,000,000",,2015,Jul_2015.csv
84.0,29/7/2015,Zimmber,Hyperlocal Handyman Services,Mumbai,"IDG Ventures India, Omidyar Network, Sherpalo Ventures,  Mohandas Pai",Private Equity,"2,000,000",Series A,2015,Jul_2015.csv
85.0,29/7/2015,trueHb,Medical Tech Instruments,New Delhi,"Sachin and Binny Bansal, Malvinder and Shivinder Singh, Gurpreet Singh & others",Seed Funding,"2,400,000",,2015,Jul_2015.csv
86.0,29/7/2015,Zovi.com/ Little App,Hyperlocal Deals Marketplace,Bangalore,"Paytm, SAIF Partners,  Tiger Global Management & others",Private Equity,"50,000,000",Series A,2015,Jul_2015.csv
87.0,29/7/2015,Swajal,Innovative Water Solutions,Gurgaon,Abhishek Gupta,Private Equity,"1,200,000",Series A,2015,Jul_2015.csv
88.0,30/7/2015,Pipa Bella,Online Jewelry Store,Mumbai,LionRock Capital,Private Equity,"600,000",Pre-Series A,2015,Jul_2015.csv
89.0,30/7/2015,Pragmatix,Business intelligence & Analytics,Mumbai,SIDBI Venture Capital Ltd,Private Equity,"2,400,000",Series A,2015,Jul_2015.csv
90.0,30/7/2015,Droom.in,Used Vehicle Marketplace,New Delhi,"Lightbox Ventures, Beenos",Private Equity,"16,000,000",Series A,2015,Jul_2015.csv
91.0,30/7/2015,MadRat Games,Educational Board Games,Bangalore,"Kunal Bahl, Rohit Bansal",Seed Funding,"168,000",,2015,Jul_2015.csv
92.0,30/7/2015,Noodle Play,Chinese food delivery,Mumbai,"Elliot Stechman, Gautam Sinha, Ambarish Ray",Seed Funding,"168,000",,2015,Jul_2015.csv
93.0,30/7/2015,Wassup,On-Demand Laundry & Dry cleaning App,Chennai,B S Nagesh,Private Equity,,Pre-Series A,2015,Jul_2015.csv
94.0,30/7/2015,Cartisan,On-Demand Car services App,Bangalore,"YouWeCan Ventures,  Aprameya Radhakrishna",Seed Funding,,,2015,Jul_2015.csv
95.0,31/7/2015,LazyLad,Hyperlocal Grocery App,Gurgaon,"Jai Choi, Kiyohiro Sugashita, Hirokazu",Private Equity,"500,000",pre-Series A,2015,Jul_2015.csv
96.0,31/7/2015,TripFactory,Online Curated Holiday package bookings,Bangalore,"Aarin Capital Partners,",Private Equity,,Series A,2015,Jul_2015.csv
97.0,31/7/2015,Prothom,Hasbro Toy Manufacturer,Pune,Oliphabs Capital,Private Equity,"2,000,000",Series A,2015,Jul_2015.csv
98.0,31/7/2015,Bona Vita,Travel Tech,Gurgaon,MakeMyTrip,Private Equity,"5,000,000",Strategic Investment,2015,Jul_2015.csv
99.0,,,,,,,,,2015,Jul_2015.csv
100.0,,,,,,,,,2015,Jul_2015.csv
,,,,,,,,,2015,Jul_2015.csv
1.0,01/06/2015,Vyomo,Beauty and Wellness Platform,New Delhi,Aprameya Radhakrishna,Seed Funding,,,2015,Jun_2015.csv
2.0,01/06/2015,Veeba Foods,Healthy Food Manufacturer,New Delhi,"DSG Consumer Partners, Saama Capital.",Private Equity,"6,000,000",Series B,2015,Jun_2015.csv
3.0,01/06/2015,Truebil,Used Car Marketplace,Mumbai,"Kae Capital, Anupam Mittal",Seed Funding,"500,000",,2015,Jun_2015.csv
4.0,01/06/2015,Meritnation,Online Learning Platform,New Delhi,InfoEdge,Private Equity,"4,000,000",Series C,2015,Jun_2015.csv
5.0,01/06/2015,Eattreatonline,Healthy Food Online Community,New Delhi,Group of 15 Angel Investors,Seed Funding,"350,000",,2015,Jun_2015.csv
6.0,01/06/2015,CredR,Used two-wheeler Marketplace,Mumbai,GrowthStory,Seed Funding,,,2015,Jun_2015.csv
7.0,01/06/2015,Glamrs,Online Fashion Video Portal,Mumbai,"Ventureworks India, Blume Ventures, Batlivala & Karani Securities, Nikunj Jhaveri",Private Equity,"1,000,000",Pre-Series A,2015,Jun_2015.csv
8.0,01/06/2015,Proviera,Probiotic Technology Products Manufacturer,Chennai,Infuse Ventures,Private Equity,"550,000",,2015,Jun_2015.csv
9.0,01/06/2015,Arth DesignBuild,Architectural Design & Consulting,Hyderabad,Srinivas Tirupati,Seed Funding,"500,000",,2015,Jun_2015.csv
10.0,02/06/2015,Saama,Big Data & Analytics Services,Pune / US,Carrick Capital Partners,Private Equity,"35,000,000",Series A,2015,Jun_2015.csv
11.0,02/06/2015,AllIzHealth,Preventive Healthcare Services,Pune,Mumbai Angels & Other angel investors,Seed Funding,"350,000",,2015,Jun_2015.csv
12.0,02/06/2015,Karma Healthcare,Tech-enabled Rural Healthcare Services,Udaipur,Ennovent Impact Investment Holding,Private Equity,,Series A,2015,Jun_2015.csv
13.0,03/06/2015,Entropy Innovations,Engineering Innovations,Mumbai,Mark Mobius & 9 Other Angel investors,Seed Funding,,,2015,Jun_2015.csv
14.0,03/06/2015,Propstack,Real Estate Intelligence Platform,Mumbai,DMG Information,Private Equity,"3,000,000",Series A,2015,Jun_2015.csv
15.0,03/06/2015,MyTaxiIndia,Online Car Rental Affiliates,New Delhi,Green House Ventures,Seed Funding,"100,000",,2015,Jun_2015.csv
16.0,03/06/2015,Arkin Net,Data Center Software platform,Pune / US,Nexus Venture Partners,Private Equity,"15,000,000",Series B,2015,Jun_2015.csv
17.0,03/06/2015,Little Black Book Delhi,Online City & Lifestyle Guide,New Delhi,"Rajan Anandan, Niraj Singh, Sachin Bhatia, Singapore Angel Network & Aseem Vadehra",Seed Funding,"150,000",,2015,Jun_2015.csv
18.0,03/06/2015,MyPoolin,P2P Payments platform,New Delhi,"Sharad Sharma, Rajan Anandan, Sunil Kalra, Amit Ranjan, Rohan Malhotra,  Arjun Malhotra, Gautam Gandhi",Seed Funding,,,2015,Jun_2015.csv
19.0,03/06/2015,iCustomadeit,Bespoke Merchandize Marketplace,Pune,"Virendra Shahney, Dr Paresh Doshi",Seed Funding,"250,000",,2015,Jun_2015.csv
20.0,03/06/2015,KAARYAH,Women Lifestyle Marketplace,Gurgaon,Ratan Tata,Seed Funding,,,2015,Jun_2015.csv
21.0,04/06/2015,Ecom Express,Logistics Solution Provider,New Delhi,Warburg Pincus,Private Equity,"137,000,000",Series C,2015,Jun_2015.csv
22.0,04/06/2015,Vidooly,Video Intelligence Platform,Noida,Bessemer Venture Partners,Private Equity,"1,000,000",Pre-Series A,2015,Jun_2015.csv
32.0,04/06/2015,Zopper,Hyperlocal Shopping App,Mumbai,"Tiger Global,  Nirvana Ventures Advisors",Private Equity,"20,000,000",Series C,2015,Jun_2015.csv
24.0,04/06/2015,Flipkart,eCommerce platform,Bangalore,Morgan Stanley,Private Equity,"50,000,000",Late Stage,2015,Jun_2015.csv
25.0,05/06/2015,kWatt Solutions,Renewable energy solutions,Mumbai,,Seed Funding,"500,000",,2015,Jun_2015.csv
26.0,05/06/2015,Medwell Ventures,HealthcareService provider,Bangalore,"Fidelity Growth Partners, Fidelity Biosciences",Private Equity,"10,000,000",Series A,2015,Jun_2015.csv
27.0,05/06/2015,Jugnoo,Auto Rickshaw Based Services,Chandigarh,"Snow Leopard, Paytm",Private Equity,"5,000,000",Series A,2015,Jun_2015.csv
28.0,08/06/2015,PosterGully,Artist / Designer Marketplace,New Delhi,"Natarajan Iyer,Rajesh Sawhney,  & other Angel investors.",Seed Funding,,,2015,Jun_2015.csv
29.0,08/06/2015,Applied Solar Technologies,Off-grid Solar Power,Mumbai,"Future Fund,Bessemer Venture, Capricorn Investment and IFC",Private Equity,"40,000,000",Series B,2015,Jun_2015.csv
30.0,09/06/2015,Clovia,Private Label lingerie Ecommerce,New Delhi,IvyCap Ventures,Private Equity,"5,000,000",Series A,2015,Jun_2015.csv
31.0,09/06/2015,Swiggy,Online Food Ordering,Bangalore,"Norwest Venture Partners, SAIF Partners, Accel Partners",Private Equity,"16,500,000",Series B,2015,Jun_2015.csv
32.0,09/06/2015,PayMango,Mobile Commerce Platform,Gurgaon,Group of Angel Investors,Seed Funding,"234,000",,2015,Jun_2015.csv
33.0,09/06/2015,Printland,Online Printing Services,New Delhi,SIDBI Venture Capital Ltd,Private Equity,,Series A,2015,Jun_2015.csv
34.0,09/06/2015,Teritree,Digital Marketing Services,Bangalore,KCL,Seed Funding,"140,000",,2015,Jun_2015.csv
35.0,10/06/2015,Guiddoo,Travel Guide Mobile App,Mumbai,"Pawan Borle, SVP Fly Dubai & Others",Seed Funding,,,2015,Jun_2015.csv
36.0,10/06/2015,Voonik,Fashion Ecommerce store,Bangalore,"Sequoia Capital, Seedfund",Private Equity,"5,000,000",Series A,2015,Jun_2015.csv
37.0,11/06/2015,AdStringO,Mobile Compression Software,Mumbai,"Arihant Patni, Vishal Khare,  Viswanath Ramachandran",Seed Funding,"350,000",,2015,Jun_2015.csv
38.0,11/06/2015,Faircent.com,Peer to Peer Lending platform,Gurgaon,M&S Partners Pte. Ltd,Seed Funding,"250,000",Pre-Series A,2015,Jun_2015.csv
39.0,12/06/2015,La Renon,Global Healthcare products,Ahmedabad,Sequoia Capital,Private Equity,"16,000,000",Series A,2015,Jun_2015.csv
40.0,15/06/2015,Homelane,Home Furnishing Solutions,Bangalore,Sequoia Capital,Private Equity,"50,000,000",Series B,2015,Jun_2015.csv
41.0,15/06/2015,iSTAR,Skill Training & Placement Platform,Bangalore,Unitus Seed Fund,Private Equity,,Series A,2015,Jun_2015.csv
42.0,15/06/2015,Shippr,Intra-City Logistics service,Bangalore,i2india Pvt Ltd,Seed Funding,"500,000",,2015,Jun_2015.csv
43.0,16/06/2015,FoodAbhi,online tiffin service aggregator,Mumbai,Group of angel investors,Seed Funding,,,2015,Jun_2015.csv
44.0,16/06/2015,Karma Recycling,Electronic Goods recycling service,Delhi,"Infuse Ventures, Low Carbon Enterprise Fund",Private Equity,,Series A,2015,Jun_2015.csv
45.0,16/06/2015,CouponRaja,Online Coupon & comparison platform,Mumbai,"Mahesh Pratapneni, Pallab Chatterjee & others",Seed Funding,"500,000",,2015,Jun_2015.csv
46.0,17/06/2015,Babychakra,Parents & Kids Online platform,Mumbai,"Mumbai Angels, Patni Family Office, Singapore Angel Network, Karan Maheshwari, Jatin Aneja, Kishor Ganji, Roopa Nath",Seed Funding,,,2015,Jun_2015.csv
47.0,17/06/2015,Jiffstore,Online Grocery platform,Bangalore,"Unitus Seed Fund, Times Internet",Seed Funding,,additional funding round,2015,Jun_2015.csv
48.0,17/06/2015,MyDentist,Dental Clinic chain,Mumbai,"LGT Group, Asian Healthcare fund, Seedfund",Private Equity,"8,200,000",Series C,2015,Jun_2015.csv
49.0,18/06/2015,Moovo,On-Demand Logistics Service,New Delhi,YouWeCan Ventures,Seed Funding,,,2015,Jun_2015.csv
50.0,18/06/2015,Fracktal Works,3D Printer Manufacturer,Bangalore,Neoteric Infomatique Limited,Private Equity,"3,000,000",Series A,2015,Jun_2015.csv
51.0,18/06/2015,Hansa Customer Equity,IT / Customer Engagement Consulting,Mumbai,ASK Pravi,Private Equity,"5,000,000",Series A,2015,Jun_2015.csv
52.0,18/06/2015,HealthifyMe,Health & Fitness App,Bangalore,"Gopal Srinivasan, Sashi Reddy, Amit Gupta, Pallav Nadhani",Private Equity,,Series A,2015,Jun_2015.csv
53.0,18/06/2015,CAKART.in,Online Education Marketplace,Bangalore,Sunil Maheshwari & group of investors,Seed Funding,,,2015,Jun_2015.csv
54.0,19/06/2015,Housejoy,Home services marketplace,Bangalore,Matrix Partners,Private Equity,"4,000,000",Series A,2015,Jun_2015.csv
55.0,19/06/2015,FundsIndia.com,Financial Services Platform,Chennai,"Faering Capital, Foundation Capital, Inventus Capital Partners",Private Equity,"11,000,000",Series C,2015,Jun_2015.csv
56.0,20/06/2015,Cupick,Social Network for Artists,Bangalore,Group of Angel Investors from US/India,Seed Funding,"120,000",,2015,Jun_2015.csv
57.0,20/06/2015,Tracxn,Startup funding platform,Bangalore,"Sachin Bansal, Bunny Bansal & other investors",Private Equity,"10,000,000",Series A,2015,Jun_2015.csv
58.0,21/06/2015,Holachef,Food Delivery Platform,Mumbai,"Kalaari Capital, India Quotient",Private Equity,"3,100,000",Series A,2015,Jun_2015.csv
59.0,22/06/2015,belong,Data Driven recruitment recommendation,Bangalore,"Kunal Bahl, Rohit Bansal, Blume Ventures, Phanindra Sama, Raju Reddy",Private Equity,"5,000,000",Series A,2015,Jun_2015.csv
60.0,22/06/2015,Ixigo,Travel Search Engine,Gurgaon,Micromax Informatics,Private Equity,,Strategic Investment,2015,Jun_2015.csv
61.0,22/06/2015,SkillAngels,Brain Games Platform,Chennai,Sprout Angels LLP,Seed Funding,,,2015,Jun_2015.csv
62.0,22/06/2015,Vidgyor,Video Advertisement Platform,Bangalore,AngelPrime,Seed Funding,"500,000",,2015,Jun_2015.csv
63.0,22/06/2015,Banihal,Algorithmic Match Making Platform,New Delhi / California,Dr David Cheriton,Seed Funding,,,2015,Jun_2015.csv
64.0,23/06/2015,Goodservice,Mobile Chat based concierge service,New Delhi,Sequoia Capital,Private Equity,"1,600,000",Series A,2015,Jun_2015.csv
65.0,23/06/2015,Treebo,Online Budget Hotel Booking Service,Bangalore,"Matrix Partners India, SAIF Partners",Private Equity,"6,000,000",Series A,2015,Jun_2015.csv
66.0,23/06/2015,EduKart,Online education marketplace,New Delhi,"Holostik Group, YouWeCan Ventures, 500 Startups, Vijay Shekhar Sharma, Manish Kheterpal, Amit Patni",Private Equity,"1,000,000",Series A,2015,Jun_2015.csv
67.0,23/06/2015,Healthians.com,Preventive healthcare services,Hyderabad,YouWeCan Ventures,Seed Funding,,,2015,Jun_2015.csv
68.0,24/06/2015,LabInApp,Science Learning App,Bangalore,Unitus Seed Fund,Seed Funding,,,2015,Jun_2015.csv
69.0,24/06/2015,Syona Cosmetics,Beauty and Wellness platform,Chennai,Chennai Angels,Seed Funding,,,2015,Jun_2015.csv
70.0,24/06/2015,Sigrid Education,Online Education Platform,Noida,Oliphans Capital,Seed Funding,,,2015,Jun_2015.csv
71.0,24/06/2015,Indix,SaaS product intelligence platform,,"Nokia Growth Partners, Nexus Venture Partners, Avalon Ventures",Private Equity,"15,000,000",Series C,2015,Jun_2015.csv
72.0,24/06/2015,The Porter,Logistics Tech,Mumbai,"Sequoia Capital, Kae Capital, Anupam Mittal, Sandeep Tandon",Private Equity,"5,500,000",Series A,2015,Jun_2015.csv
73.0,24/06/2015,Retention.ai,App Analytics platform,Bangalore,"Mercury Fund, Anshu Sharma, Pratyush Prasanna, Robert Winters & others",Seed Funding,"500,000",,2015,Jun_2015.csv
74.0,25/06/2015,Fusion Microfinance,Micro Finance Platform,New Delhi,"Development finance institution Belgian Investment Company, Oikocredit",Private Equity,"8,600,000",Series C,2015,Jun_2015.csv
75.0,25/06/2015,Zinka,Freight logistics platform,Bangalore,"Accel Partners, Flipkart",Private Equity,"6,000,000",Series A,2015,Jun_2015.csv
76.0,26/06/2015,CreditMantri,Credit Management Services,Chennai,"IDG Ventures India, Elevar Equity, Accion Venture Lab",Private Equity,"2,500,000",Series A,2015,Jun_2015.csv
77.0,26/06/2015,GetMyPeon,Hyperlocal Handyman Services,Mumbai,Undisclosed investors,Seed Funding,"250,000",,2015,Jun_2015.csv
78.0,29/06/2015,UrbanClap,Hyperlocal services marketplace,New Delhi,"SAIF Partners,  Accel Partners",Private Equity,"10,000,000",Series A,2015,Jun_2015.csv
79.0,29/06/2015,StayGlad,Beauty services Mobile Marketplace,Bangalore,"Tracxn Labs, Sahil Barua",Seed Funding,,,2015,Jun_2015.csv
80.0,29/06/2015,AdWyze,Marketing / Advertising Automation platform,Bangalore,Mape Advisory,Seed Funding,"1,000,000",,2015,Jun_2015.csv
81.0,29/06/2015,Zimmber,Hyperlocal Handyman Services,Mumbai,"Naveen Tiwari, Mohit Saxena, Amit Gupta, Piyush Shah, Manish Dugar",Seed Funding,"400,000",,2015,Jun_2015.csv
82.0,30/06/2015,Buttercups,Online Lingerie platform,Bangalore,"Kanwaljit Singh, Angie Mahtaney, Manoj Varghese",Seed Funding,,,2015,Jun_2015.csv
83.0,30/06/2015,RailYatri,Railways Information Mobile app,Bangalore,"Helion Ventures, Omidiyar Network, Blume Ventures and Ujama",Private Equity,,Pre-Series A,2015,Jun_2015.csv
84.0,30/06/2015,aagaar.com,Hyperlocal grocery delivery,Gurgaon,Group of Investors,Seed Funding,,,2015,Jun_2015.csv
85.0,30/06/2015,Flatchat,Flat rental Mobile App,Bangalore,Commonfloor,Private Equity,"2,500,000",Strategic Funding,2015,Jun_2015.csv
86.0,30/06/2015,MyCFO,Wealth Management Platform,Mumbai,Sameer Koticha,Private Equity,"1,500,000",Series A,2015,Jun_2015.csv
,,,,,,,,,2015,Jun_2015.csv
1.0,02/03/2015,TrulyMadly.com,,,"Helion Venture Partners, Kae Capital",Private Equity,"5,500,000",Series A,2015,Mar_2015.csv
2.0,02/03/2015,InstaLively,,,Group of Angel Investors,Seed Funding,"120,000",,2015,Mar_2015.csv
3.0,03/03/2015,Vserv,,,"Maverick Capital, IDG Ventures India",Private Equity,"15,000,000",,2015,Mar_2015.csv
4.0,03/03/2015,Intruo.com,,,"Ashutosh Lawania, Alok Goel & others",Seed Funding,,,2015,Mar_2015.csv
5.0,05/03/2015,Niffler,,,SAIF Partners,Seed Funding,"1,000,000",,2015,Mar_2015.csv
6.0,05/03/2015,CustomFurnish.com,,,"Madhukar Gangadi, Satish Reddy, Srini Raju, Srini Koppolu & SIDBI",Private Equity,"2,500,000",,2015,Mar_2015.csv
7.0,06/03/2015,MapMyGenome,,,Rajan Anandan & other angel investors,Private Equity,"1,200,000",,2015,Mar_2015.csv
8.0,09/03/2015,Crowdfire(formerly Justunfollow),,,Kalaari Capital,Private Equity,"2,500,000",,2015,Mar_2015.csv
9.0,09/03/2015,Bite Club,,,"Powai Lake Ventures, Aneesh Reddy, Ashish Kashyap, Alok Mittal",Seed Funding,"500,000",,2015,Mar_2015.csv
10.0,10/03/2015,Localbanya,,,Shrem Strategies,Private Equity,,Series B,2015,Mar_2015.csv
11.0,11/03/2015,Appedo,,,Undisclosed Investors,Seed Funding,"1,000,000",,2015,Mar_2015.csv
12.0,11/03/2015,Fitraq.com,,,Tarun Arora,Seed Funding,"150,000",,2015,Mar_2015.csv
13.0,11/03/2015,ChargeBee,,,"Tiger Global, Accel Partners",Private Equity,"5,000,000",Series B,2015,Mar_2015.csv
14.0,11/03/2015,Groupon India,,,Sequoia Capital,Private Equity,"20,000,000",,2015,Mar_2015.csv
15.0,12/03/2015,Process 9,,,"IAN Ventures, Alok Sharma, Kris Gopalakrishnan, Saurabh Srivastava, Ajai Chowdhry",Seed Funding,,,2015,Mar_2015.csv
16.0,12/03/2015,MoonFrog Labs,,,"Tiger Global, Sequoia Capital.",Private Equity,"15,000,000",Series A,2015,Mar_2015.csv
17.0,13/03/2015,Foodpanda,,,Rocket Internet AG & others,Private Equity,"110,000,000",Series C,2015,Mar_2015.csv
18.0,13/03/2015,Paytm,,,Ratan Tata,Private Equity,,More details,2015,Mar_2015.csv
19.0,13/03/2015,DiabetOmics,,,"VentureEast,  Varaprasad Reddy",Private Equity,"5,000,000",Series C,2015,Mar_2015.csv
20.0,13/03/2015,Qyk,,,"Powai Lake Ventures, Zishan Hayath, Abhishek Goyal, Sahil Barua",Seed Funding,,,2015,Mar_2015.csv
21.0,14/03/2015,Daily Rounds,,,"Kae Capital, GSF, Teruhide Sato",Seed Funding,"500,000",,2015,Mar_2015.csv
22.0,14/03/2015,Orobind,,,"Zishaan Hayath, Lalit Mangal, Harpreet Singh Grover",Seed Funding,"200,000",,2015,Mar_2015.csv
23.0,14/03/2015,Routofy,,,"Kunal Bahl, Rohit Bansal",Seed Funding,,,2015,Mar_2015.csv
24.0,16/03/2015,Digital Gorkha,,,Ramesh kavediya,Seed Funding,"166,000",,2015,Mar_2015.csv
25.0,16/03/2015,NestAway,,,"IDG Ventures, Naveen Tewari",Seed Funding,"1,300,000",,2015,Mar_2015.csv
26.0,16/03/2015,The Better India,,,I-cube-N,Seed Funding,"166,000",,2015,Mar_2015.csv
27.0,16/03/2015,Meru Cabs,,,Value Fund Advisors,Private Equity,"50,000,000",,2015,Mar_2015.csv
28.0,17/03/2015,GolfLAN,,,YourNest Angel Fund,Seed Funding,,,2015,Mar_2015.csv
29.0,18/03/2015,Drivestream,,,Wipro,Private Equity,"5,000,000",,2015,Mar_2015.csv
30.0,18/03/2015,wWhere,,,Group of Angel Investors,Seed Funding,"200,000",,2015,Mar_2015.csv
31.0,18/03/2015,GoJavas,,,Snapdeal,Private Equity,,"Minority stake, Strategic",2015,Mar_2015.csv
32.0,19/03/2015,Tripoto,,,"IDG Ventures, Outbox Ventures",Private Equity,"2,000,000",Pre-Series A,2015,Mar_2015.csv
33.0,19/03/2015,Graphic India,,,"CA Media LP,  Start Media.",Seed Funding,"2,800,000",,2015,Mar_2015.csv
34.0,20/03/2015,Harness Handitouch,,,Armat Group,Private Equity,,Series A,2015,Mar_2015.csv
35.0,20/03/2015,Lets Corp,,,Wu Chay Chin,Seed Funding,"3,000,000",,2015,Mar_2015.csv
36.0,20/03/2015,CollateBox,,,LetsVenture,Seed Funding,"180,000",,2015,Mar_2015.csv
37.0,20/03/2015,Mahindra First Choice,,,Valiant Capital,Private Equity,"15,000,000",Series B,2015,Mar_2015.csv
38.0,21/03/2015,Round One,,,"HT Media, Arun Duggal",Seed Funding,,,2015,Mar_2015.csv
39.0,23/03/2015,RazorPay,,,Y Combinator,Seed Funding,"120,000",,2015,Mar_2015.csv
40.0,23/03/2015,Mosambee,,,RVCF and SIDBI,Private Equity,,Series B,2015,Mar_2015.csv
41.0,24/03/2015,Furlenco,,,LightBox Ventures,Private Equity,"6,000,000",Series A,2015,Mar_2015.csv
42.0,24/03/2015,Cubito,,,Sol Primero,Seed Funding,"160,000",,2015,Mar_2015.csv
43.0,25/03/2015,Teabox,,,"JAFCO Asia, Keystone Group, Dragoneer Investment, Accel Partners",Private Equity,"6,000,000",Series A,2015,Mar_2015.csv
44.0,25/03/2015,Artoo,,,"Accion Venture Labs, Rianta Capital",Private Equity,"500,000",Series A,2015,Mar_2015.csv
45.0,25/03/2015,Fxkart.com,,,"Dr Mushtaq Shah, Dr Faraz Naqvi",Seed Funding,"2,000,000",,2015,Mar_2015.csv
46.0,25/03/2015,Rozgar Mela,,,"Impact Investment Holding, Upaya Social Ventures",Seed Funding,,,2015,Mar_2015.csv
47.0,25/03/2015,OYO Rooms,,,"Greenoaks capital, Sequoia Capital, LightSpeed Ventures",Private Equity,"25,000,000",Series A,2015,Mar_2015.csv
48.0,26/03/2015,Roposo.com,,,"Tiger Global Management, Indian Quotient, Binny Bansal",Private Equity,"5,000,000",Series A,2015,Mar_2015.csv
49.0,26/03/2015,Teewe,,,"Sequoia Capital, India Quotient",Seed Funding,"1,750,000",,2015,Mar_2015.csv
50.0,26/03/2015,ePoise,,,Undisclosed,Seed Funding,,,2015,Mar_2015.csv
51.0,27/03/2015,Urjas,,,Solidarity Venture Capital & others,Seed Funding,"100,000",,2015,Mar_2015.csv
52.0,27/03/2015,Chargein,,,Pittie Group,Seed Funding,"100,000",,2015,Mar_2015.csv
53.0,28/03/2015,Yogurt Labs,,,"Nick Adams, Kiran Bhat, Family Pot Investments LLP",Seed Funding,"115,000",,2015,Mar_2015.csv
54.0,28/03/2015,LimeRoad.com,,,"Tiger Global, Matrix Partners, Lightspeed Venture Partners",Private Equity,"30,000,000",,2015,Mar_2015.csv
55.0,28/03/2015,Team Indus,,,"Nandan Nilekani, Rajiv Mody, Ajai Chowdhary",Private Equity,"1,500,000",Pre-Series A,2015,Mar_2015.csv
56.0,30/03/2015,Arohan Financial Services,,,Tano Capital,Private Equity,"10,000,000",,2015,Mar_2015.csv
57.0,30/03/2015,BillDesk,,,TA Associates,Private Equity,"75,000,000",Incremental Capital,2015,Mar_2015.csv
58.0,31/03/2015,Triphobo,,,"Mayfield Ventures, Kalaari Capital",Private Equity,"3,000,000",Series B (More Here),2015,Mar_2015.csv
59.0,31/03/2015,Aryaka,,,"Trinity Ventures, InterWest Partners, Mohr Davidow Ventures, Presidio Ventures",Private Equity,"16,000,000",Series D,2015,Mar_2015.csv
