Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry/ Vertical,Sub-Vertical,City / Location,Investors’ Name,InvestmentType,Amount (in USD),Year,Source_File,Date,Industry/Vertical,City,Investor Name,Investment Type,Amount(in USD),Invest-mentType
24.0,09/05/2017,Sequretek,Technology,IT Security & Data Management Services,Mumbai,"GVFL, Unicorn India Ventures",Private Equity,,2017,May_2017.csv,,,,,,,
25.0,10/05/2017,Lucideus,Technology,Cyber Security Startup,New Delhi,"Vellayan Subbiah, Jonathan Boutelle, Rajan Anandan,  Rahul Chawla, Salil Donde, Amit Ranjan, Govind Rajan & Others",Seed Funding,,2017,May_2017.csv,,,,,,,
26.0,10/05/2017,Vidooly,Consumer Internet,Video Intelligence platform,Noida,"Times Internet, GVFL",Private Equity,"1,400,000",2017,May_2017.csv,,,,,,,
27.0,10/05/2017,Shopclues,eCommerce,Online marketplace,Gurgaon,InnoVen Capital,Private Equity,"7,700,000",2017,May_2017.csv,,,,,,,
28.0,10/05/2017,Fourth Ambit,Consumer Internet,Community Building platform,Bangalore,1Crowd,Seed Funding,"600,000",2017,May_2017.csv,,,,,,,
29.0,10/05/2017,Chymera VR,Technology,Advertising Platform for Virtual Reality,Bangalore,"Varsha Rao, Surojit Chatterjee, Nirav Choksi & Others",Seed Funding,,2017,May_2017.csv,,,,,,,
30.0,11/05/2017,Early Salary,Consumer Internet,Online lending platform,Pune,"DG Ventures India, Dewan Housing Finance Corp",Private Equity,"4,000,000",2017,May_2017.csv,,,,,,,
31.0,11/05/2017,Book My Diamond,eCommerce,Diamond B2B eTailer,Mumbai,Chirag Nikunj Sheth & Others,Seed Funding,,2017,May_2017.csv,,,,,,,
32.0,11/05/2017,ION Energy,Technology,Clean Tech Startup,Mumbai,"Aakrit Vaish, Swapan Rajdev, Sushill Jiwarajka",Seed Funding,,2017,May_2017.csv,,,,,,,
33.0,12/05/2017,Legal Raasta,Consumer Internet,Legal Services to SMEs & Individuals,New Delhi,Impanix Capital,Private Equity,"5,000,000",2017,May_2017.csv,,,,,,,
34.0,12/05/2017,Log 9 Materials,Technology,NanoTech product developer,Bangalore,GEMs,Seed Funding,,2017,May_2017.csv,,,,,,,
35.0,12/05/2017,Remit Guru,Consumer Internet,Digital money transfer platform,Mumbai,"Infibeam, CCavenue",Private Equity,"466,000",2017,May_2017.csv,,,,,,,
36.0,12/05/2017,Aequm,eCommerce,Cloud ECommerce platform,Bangalore,undisclosed investors,Seed Funding,"1,000,000",2017,May_2017.csv,,,,,,,
37.0,15/05/2017,Zapty,Technology,Project Management tool,Bangalore,IdeaSpring Capital,Seed Funding,"500,000",2017,May_2017.csv,,,,,,,
38.0,15/05/2017,Vernacular.ai,Technology,Multi-lingual AI Platform for Businesses,Bangalore,Kstart Capital,Seed Funding,,2017,May_2017.csv,,,,,,,
39.0,16/05/2017,Niki.ai,Technology,AI-based chatbot,Bangalore,SAP,Private Equity,,2017,May_2017.csv,,,,,,,
40.0,16/05/2017,Telr,Technology,Online Payment Gateway,Mumbai,Innovations East,Private Equity,"3,000,000",2017,May_2017.csv,,,,,,,
41.0,16/05/2017,Fynd,eCommerce,Fashion ECommerce Portal,Mumbai,Rocketship,Private Equity,"500,000",2017,May_2017.csv,,,,,,,
42.0,17/05/2017,Genie,Consumer Internet,hyperlocal delivery and logistics mobile app,Chennai,undisclosed investors,Seed Funding,"250,000",2017,May_2017.csv,,,,,,,
43.0,17/05/2017,Paysense,Consumer Internet,Online Lending platform,Mumbai,Jungle Ventures,Private Equity,"5,300,000",2017,May_2017.csv,,,,,,,
44.0,18/05/2017,The Good Life,ECommerce,Online Luxury Tea etailer,Mumbai,"Ayesha Takia Azmi, Abu Farhan Azmi",Seed Funding,"1,000,000",2017,May_2017.csv,,,,,,,
45.0,18/05/2017,PumpKart,eCommerce,Online Water Pumps etailer,Chandigarh,Dr. Ritesh Malik,Seed Funding,,2017,May_2017.csv,,,,,,,
46.0,18/05/2017,Paytm,ECommerce,Mobile Wallet & ECommerce platform,Bangalore,SoftBank Group,Private Equity,"1,400,000,000",2017,May_2017.csv,,,,,,,
47.0,19/05/2017,EzCred,Consumer Internet,Consumer Lending Platform,Bangalore,"Dheeraj Pandey, Rajesh Yohannan, Akash Garg",Seed Funding,"1,000,000",2017,May_2017.csv,,,,,,,
48.0,19/05/2017,HealthSutra,Food & Beverage,Health Food Maker,Hyderabad,"Ankur Capital, Hyderabad Angels",Seed Funding,,2017,May_2017.csv,,,,,,,
49.0,20/05/2017,YepMe,eCommerce,Private Fashion Brand etailer,New Delhi,Gokaldas Exports Ltd,Private Equity,,2017,May_2017.csv,,,,,,,
50.0,22/05/2017,Delhivery,Logistics,ECommerce Logistics provider,New Delhi,Fosun International,Private Equity,"30,000,000",2017,May_2017.csv,,,,,,,
51.0,22/05/2017,ZipGrid,Consumer Internet,"Cashless, paperless solutions for Housing societies",Mumbai,"JLL, 1Crowd",Seed Funding,"500,000",2017,May_2017.csv,,,,,,,
52.0,23/05/2017,TravelSpice,ECommerce,Travel ECommerce portal,Hyderabad,Eagle10 Ventures,Seed Funding,,2017,May_2017.csv,,,,,,,
53.0,23/05/2017,Magicpin,Consumer Internet,Hyperlocal discovery platform,Gurgaon,"Lightspeed Venture Partners, Vy Capital,",Private Equity,"6,600,000",2017,May_2017.csv,,,,,,,
54.0,23/05/2017,The Print,Consumer Internet,News Portal,New Delhi,"Ratan Tata, Nandan Nilekani, Uday Kotak, Vijay Shekhar Sharma, Kiran Mazumdar-Shaw, Rajiv C Mody",Seed Funding,,2017,May_2017.csv,,,,,,,
55.0,23/05/2017,Box8,Consumer Internet,Food Delivery Platform,Mumbai,Trifecta Capital,Private Equity,"1,000,000",2017,May_2017.csv,,,,,,,
56.0,24/05/2017,GenNext Students,Consumer Internet,Online Tutoring Services,Mumbai,Undisclosed Investors,Seed Funding,"580,000",2017,May_2017.csv,,,,,,,
57.0,25/05/2017,Aye Finance,Finance,Non-Banking Financial Company,Gurgaon,Blue Orchard,Private Equity,"8,000,000",2017,May_2017.csv,,,,,,,
58.0,26/05/2017,WhatsLoan,Consumer Internet,Online Lending mobile app,Bangalore,Lahiri Music’s family office,Seed Funding,,2017,May_2017.csv,,,,,,,
59.0,29/05/2017,Cube Consumer Services,Consumer Internet,Finance management Mobile app,Mumbai,,Seed Funding,,2017,May_2017.csv,,,,,,,
60.0,29/05/2017,Nivesh,Consumer Internet,Online MF investment platform,Noida,"PV Sahad, Sandeep Shroff, Rahul Gupta",Seed Funding,,2017,May_2017.csv,,,,,,,
61.0,29/05/2017,Wowflux,Technology,image Processing solution,New Delhi,Undisclosed Investors,Seed Funding,,2017,May_2017.csv,,,,,,,
62.0,29/05/2017,Collateral Medical,eCommerce,Online Medical equipment supplier,Mumbai,Carpediem Capital,Private Equity,"3,500,000",2017,May_2017.csv,,,,,,,
63.0,30/05/2017,Loadshare,Logistics,Express Logistics Network,Bangalore,Matrix Partners,Seed Funding,,2017,May_2017.csv,,,,,,,
64.0,30/05/2017,SimpliLend,Consumer Internet,Online lending platform,New Delhi,Undisclosed Investors,Seed Funding,,2017,May_2017.csv,,,,,,,
65.0,30/05/2017,Supr Daily,Consumer Internet,Subscription based delivery platform,Mumbai,"Soma Capital, Great Oaks Ventures, 122 West Ventures",Private Equity,"1,500,000",2017,May_2017.csv,,,,,,,
66.0,30/05/2017,Swiggy,Consumer Internet,Online food delivery platform,Bangalore,"Nasper, Accel India, SAIF Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners",Private Equity,"80,000,000",2017,May_2017.csv,,,,,,,
67.0,31/05/2017,SastaSundar,eCommerce,Online Pharmacy,Kolkata,Rohto Pharmaceutical,Private Equity,"5,000,000",2017,May_2017.csv,,,,,,,
68.0,31/05/2017,Magicpin,Consumer Internet,Hyperlocal Discovery  & Rewards platform,Gurgaon,"Lightspeed India Partners, Waterbridge Ventures",Private Equity,"7,000,000",2017,May_2017.csv,,,,,,,
69.0,31/05/2017,,,,,,,,2017,May_2017.csv,,,,,,,
70.0,31/05/2017,,,,,,,,2017,May_2017.csv,,,,,,,
71.0,,,,,,,,,2017,May_2017.csv,,,,,,,
,,,,,,,,,2017,May_2017.csv,,,,,,,
1.0,,Prest Loans,,Business & SME Loans provider,,,,,2017,Nov_2017.csv,02/11/2017,Finance,New Delhi,"Manish Poddar, Arun Garg, Parmeshwar Sharma",Seed Funding,"570,000",
2.0,,AadharAPI.com,,Aadhaar-based API provider,,,,,2017,Nov_2017.csv,02/11/2017,Technology,Pune,CIO Angel Network,Seed Funding,,
3.0,,FreshBoxx,,Online Grocery Store,,,,,2017,Nov_2017.csv,02/11/2017,ECommerce,Bangalore,Jayant Humbarwadi,Seed Funding,,
4.0,,Vagupu,,Online Tutorial Marketplace,,,,,2017,Nov_2017.csv,03/11/2017,Technology,Bangalore,Undisclosed Investors,Seed Funding,"1,000,000",
5.0,,HalaPlay,,Online Fantasy Games,,,,,2017,Nov_2017.csv,03/11/2017,Consumer Internet,Mumbai,"Kae Capital Management, Nazara Technologies",Seed Funding,,
6.0,,Kalpnik Technologies,,VR based Spiritual platform,,,,,2017,Nov_2017.csv,03/11/2017,Technology,Bangalore,Venture Catalysts,Seed Funding,"500,000",
7.0,,Hevo Data,,Real time data analytics & reporting,,,,,2017,Nov_2017.csv,04/11/2017,Technology,Bangalore,IDG Ventures India,Private Equity,"1,000,000",
8.0,,Smart Karma,,Financial Technology Research Platform,,,,,2017,Nov_2017.csv,06/11/2017,Technology,Bangalore,IDG Ventures India,Private Equity,,
9.0,,Leverage Edu,,Online platform for Higher Education Services,,,,,2017,Nov_2017.csv,06/11/2017,ECommerce,New Delhi,"Alok Mittal, Deepak Jain, Ritesh Malik, Jim Schimdktke",Seed Funding,,
10.0,,Crayon Data,,Customer Engagement Platform,,,,,2017,Nov_2017.csv,07/11/2017,Technology,New Delhi,Infosys co-founder Kris Gopalakrishnan,Seed Funding,,
11.0,,DocTalk,,Doctor Patient Communication platform,,,,,2017,Nov_2017.csv,07/11/2017,Technology,Mumbai,"Matrix Partners India, Khosla Ventures",Private Equity,"5,000,000",
12.0,,CoveIoT,,Wearable tech and Internet of Things platform,,,,,2017,Nov_2017.csv,07/11/2017,Technology,Bangalore,"Titan Co Ltd, Tata Group’s watch and jewellery retailing firm",Private Equity,"5,000,000",
13.0,,TalentEdge,,Distance Education Learning Platform,,,,,2017,Nov_2017.csv,08/11/2017,Technology,Bangalore,Lumis Partners,Private Equity,"7,600,000",
14.0,,Fisdom,,Mutual Fund Investment App,,,,,2017,Nov_2017.csv,08/11/2017,Finance,Bangalore,Quona Capital Management,Private Equity,"3,000,000",
15.0,,FarmLink,,Online platform for Agricultural products,,,,,2017,Nov_2017.csv,08/11/2017,eCommerce,Mumbai,"Pioneering Ventures, Syngenta AG",Private Equity,"3,000,000",
16.0,,OpenApp,,IoT based Tech Startup,,,,,2017,Nov_2017.csv,08/11/2017,Technology,Bangalore,"Axilor Ventures, Kumar Vembu",Private Equity,"3,600,000",
17.0,,NoPaperForms,,Enrolment Management Platform,,,,,2017,Nov_2017.csv,09/11/2017,Technology,Delhi,Info Edge,Seed Funding,"872,000",
18.0,,Tilite Technologies Pvt. Ltd,,Saas based Corporate Travel Management Solution,,,,,2017,Nov_2017.csv,09/11/2017,Technology,Bangalore,Matrix Partners,Seed Funding,,
19.0,,Mobiliz AR,,Augmented Reality based Tech platform,,,,,2017,Nov_2017.csv,09/11/2017,Technology,Bangalore,"IDG Ventures, IDFC-Parampara Fund",Private Equity,,
20.0,,Qubole,,Big Data based analytics platform,,,,,2017,Nov_2017.csv,10/11/2017,Technology,Bangalore,"Singtel, Innov8, Harmony Partners",Private Equity,"25,000,000",
21.0,,Happily Unmarried,,Online Gifting platform,,,,,2017,Nov_2017.csv,10/11/2017,ECommerce,Nw Delhi,Wipro Consumer Care,Private Equity,,
22.0,,Universal Sportsbiz Pvt. Ltd,,Celebrity fashion accessories and merchandise,,,,,2017,Nov_2017.csv,13/11/2017,ECommerce,Mumbai,Accel Partners,PrivateEquity,"15,000,000",
23.0,,Hungry Foal,,Healthy & Nutrition based snacks online platform,,,,,2017,Nov_2017.csv,14/11/2017,Ecommerce,Gurgaon,GAIL India Ltd,Seed Funding,,
23.0,,Active AI,,AI based FinTech platform,,,,,2017,Nov_2017.csv,14/11/2017,Technology,Bangalore,Vertex Ventures,Private Equity,"825,0000",
24.0,,Sumeru,,Banking Software License Platform,,,,,2017,Nov_2017.csv,15/11/2017,Technology,Bangalore,Undisclosed Investors,Seed Funding,"900,000",
25.0,,ElderAid Wellness,,Social Healthcare Enterprise,,,,,2017,Nov_2017.csv,15/11/2017,Health Care,Bangalore,Rugmini Menon,Angel Funding,,
26.0,,Omnia Information,,WiFi Analytics Platform,,,,,2017,Nov_2017.csv,15/11/2017,Technology,Delhi,Omidyar Network,Private Equity,"3,000,000",
27.0,,Josh Talks,,Storytelling platform,,,,,2017,Nov_2017.csv,15/11/2017,Inspiration,Gurgaon,"Girish Mathrubootham, Apurva Chamaria, Rohit Chanana",Private Equity,,
28.0,,Reniso,,End-to-End property management for landlords living away,,,,,2017,Nov_2017.csv,15/11/2017,Technology,New Delhi,"Nishit Sharma, Alok Srivastava",Seed Funding,,
29.0,,Kanhaiya,,Storytelling platform,,,,,2017,Nov_2017.csv,17/11/2017,Inspiration,Hyderabad,Undisclosed Investors,Seed/Angel Funding,"200,000",
30.0,,Perspectico,,Placement preparation and career growth training platform,,,,,2017,Nov_2017.csv,17/11/2017,Technology,Delhi,"SSCBS Innovation, Incubation Foundation (SIIF)",Seed/Angel Funding,,
31.0,,ONN Bikes,,Self riding bike rental program,,,,,2017,Nov_2017.csv,20/11/2017,Technology,Mumbai,Z Nation Lab,Seed/Angel Funding,"692,000",
32.0,,Rapido,,Bike and Taxi pooling online platform,,,,,2017,Nov_2017.csv,21/11/2017,Technology,Hyderabad,"Skycatcher Fund, Aravind Sanka",Seed/Angel Funding,"329,230",
33.0,,Heckyl,,Big Data Analytics Platform,,,,,2017,Nov_2017.csv,21/11/2017,Technology,Mumbai,"Notion Capital, IDG Ventures",Private Equity,"2,700,000",
34.0,,Nuvepro,,Managed Cloud Environment Solutions,,,,,2017,Nov_2017.csv,21/11/2017,Technology,Mumbai,1Crowd,Seed/Angel Funding,"400,000",
35.0,,RedBook,,AI based pharmacy drugs insights platform,,,,,2017,Nov_2017.csv,21/11/2017,Technology,Mumbai,"Vida Ventures, Dr. Aniruddha Malpani",Seed/Angel Funding,"250,000",
36.0,,Portea,,Healthcare facilities at doorstep,,,,,2017,Nov_2017.csv,21/11/2017,Healthcare,Bangalore,"Sabre Partners, MEMG CDC",Private Equity,"26,000,000",
37.0,,Credit Mate,,Vehicle loan approval platform,,,,,2017,Nov_2017.csv,21/11/2017,Technology,Mumbai,Paytm,Private Equity,,
38.0,,Epiq Capital,,Tech based investor firm,,,,,2017,Nov_2017.csv,21/11/2017,Finance,Mumbai,Global Institutional Investors,Private Equity,"20,000,0000",
39.0,,MiStay,,Online Hotel Reservation Platform,,,,,2017,Nov_2017.csv,22/11/2017,Technology,Bangalore,Axilor Ventures,Seed/Angel Funding,,
40.0,,WittyFeed,,Viral Content and storytelling platform,,,,,2017,Nov_2017.csv,23/11/2017,Storytelling,Indore,Sandeep Aggarwal,Seed/Angel Funding,,
41.0,,IDG Ventures,,Venture Capitalist,,,,,2017,Nov_2017.csv,24/11/2017,Finance,Bangalore,Uniliver Ventures,Private Equity,"10,000,000",
42.0,,TempGo,,IoT and SaaS based transportation platform,,,,,2017,Nov_2017.csv,24/11/2017,Technology,Goa,Javelin StartupO Victory Fund,Seed/Angel Funding,"250,000",
43.0,,Edelweiss,,Diversified Financial,,,,,2017,Nov_2017.csv,27/11/2017,Finance,Mumbai,Undisclosed investors,Private Equity,"270,000,000",
44.0,,ERA,,Identity management platform,,,,,2017,Nov_2017.csv,27/11/2017,Technology,Mumbai,Amit Patni,Seed/Angel Funding,"39,000",
44.0,,Smaaash,,Virtual Reality based gaming platform,,,,,2017,Nov_2017.csv,27/11/2017,Technology,Mumbai,Sixth Sense Ventures,Private Equity,"3,800,000",
45.0,,Chumbak,,Designer-led consumer products,,,,,2017,Nov_2017.csv,28/11/2017,Lifestyle,Bangalore,Gaja Capital,Private Equity,"13,000,000",
46.0,,FR8,,Online Truck aggregator platform,,,,,2017,Nov_2017.csv,28/11/2017,Technology,Chennai,IFMR Capital,Debt Funding,"1,500,000",
47.0,,MobieFit,,Health and fitness based mobile App,,,,,2017,Nov_2017.csv,28/11/2017,Healthcare,Goa,"NB Ventures, MediAssist",Seed/Angel Funding,"1,350,000",
48.0,,Stanza Living,,Student accommodation platform,,,,,2017,Nov_2017.csv,28/11/2017,Technology,Delhi,"Matrix PArtners, Accel",Private Equity,"2,000,000",
1.0,,ChqBook,,Home Loans Aggregation platform,,,,,2017,Oct_2017.csv,3/10/2017,Consumer Internet,Gurgaon,"Startup Buddy, Apurva Chamaria,Sachin Arora, Bharat Gupta, Amit Manocha",Seed Funding,,
2.0,,HomeCapital,,Home Loan Down payment assistance program,,,,,2017,Oct_2017.csv,3/10/2017,Consumer Internet,Mumbai,Venture Catalysts,Seed Funding,,
3.0,,Ola Cabs,,App based cab hailing services,,,,,2017,Oct_2017.csv,3/10/2017,Consumer Internet,Bangalore,"Tencent, Softbank Group",Private Equity,"110,000,000",
4.0,,Elanic,,P2P platform for Fashion sales,,,,,2017,Oct_2017.csv,4/10/2017,Consumer Internet,Bangalore,Digital Garage,Seed Funding,,
5.0,,CollPoll,,Education collaboration platform,,,,,2017,Oct_2017.csv,4/10/2017,Consumer Internet,Bangalore,Sprout Angels,Seed Funding,"306,000",
6.0,,PhonePe,,Digital Wallet,,,,,2017,Oct_2017.csv,4/10/2017,Consumer Internet,Bangalore,Flipkart,Private Equity,"38,700,000",
7.0,,Little Black Book,,Local Recommendations and Discoveries Platform,,,,,2017,Oct_2017.csv,5/10/2017,Consumer Internet,New Delhi,"Blume Ventures, IDG Ventures & Indian Angel Network",Private Equity,"1,000,000",
8.0,,Oorjan,,rooftop solar platform,,,,,2017,Oct_2017.csv,5/10/2017,Technology,Mumbai,Globevestor,Seed Funding,"450,000",
9.0,,Zefo,,Ecommerce Portal for Used Goods,,,,,2017,Oct_2017.csv,5/10/2017,ECommerce,Bangalore,"Sequoia India, Helion Venture Partners, Beenext",Private Equity,"9,200,000",
10.0,,Yaantra,,Mobile repair and Refurbishment platform,,,,,2017,Oct_2017.csv,6/10/2017,ECommerce,New Delhi,Carpediem Capital,Private Equity,"3,100,000",
11.0,,Farm Taaza,,Fresh Produce SCM company,,,,,2017,Oct_2017.csv,6/10/2017,Technology,Bangalore,"Epsilon Venture Partners, Tara India Fund IV and others",Private Equity,"8,000,000",
12.0,,Drivezy,,Self Drive car and bike rental platform,,,,,2017,Oct_2017.csv,6/10/2017,Consumer Internet,Bangalore,"Das Capital, Axan Partners, Das Capital and IT Farm",Private Equity,"10,000,000",
13.0,,Slice Pay,,Student Micro-financing platform,,,,,2017,Oct_2017.csv,6/10/2017,Consumer Internet,Bangalore,"Das Capital, Simile Ventures",Private Equity,"2,000,000",
14.0,,Agrowave,,Agriculture Supply Chain management solutions,,,,,2017,Oct_2017.csv,9/10/2017,Technology,Gurgaon,Daffodil Software,Seed Funding,,
15.0,,MyGubbi,,Home Interior Designing Seller,,,,,2017,Oct_2017.csv,9/10/2017,eCommerce,Bangalore,"Firoze Irani, Vipul Parekh, Ananda Kallugadde, Rajesh K Murthy",Private Equity,"2,700,000",
16.0,,IBSFintech,,Treasury Risk Management Solution,,,,,2017,Oct_2017.csv,9/10/2017,Technology,Bangalore,Shailesh Haribhakti,Seed Funding,,
17.0,,Letsservice,,Auto Service Logistics & SAAS platform,,,,,2017,Oct_2017.csv,9/10/2017,Consumer Internet,Bangalore,Aequs Group,Private Equity,,
18.0,,OneStepUp,,Education Technology platform,,,,,2017,Oct_2017.csv,9/10/2017,Technology,New Delhi,Orient BlackSwan,Seed Funding,"336,000",
19.0,,ThirdWatch,,AI-powered anti-fraud solutions,,,,,2017,Oct_2017.csv,9/10/2017,Technology,Gurgaon,"Rahul Agarwalla, Keshav Sanghi, Batlivala & Karani Securities",Seed Funding,,
20.0,,Parallel Dots,,AI-powered deep learning solutions,,,,,2017,Oct_2017.csv,10/10/2017,Technology,Gurgaon,"Multipoint Capital,",Private Equity,"1,400,000",
21.0,,Easy Diner,,online restaurant reservation platform,,,,,2017,Oct_2017.csv,10/10/2017,Consumer Internet,Gurgaon,Saama Capital and DSG Consumer Partners,Private Equity,"4,500,000",
22.0,,Meesho,,Online Reseller Network,,,,,2017,Oct_2017.csv,11/10/2017,ECommerce,Bangalore,"SAIF Partners, YCombinator, Venture Highway",Private Equity,"3,100,000",
23.0,,StanPlus,,Medical Transportation Services,,,,,2017,Oct_2017.csv,11/10/2017,Logistics,Hyderabad,KStart Capital,Private Equity,"1,100,000",
24.0,,UCLID,,"Education Network for Institutions, teachers & Students",,,,,2017,Oct_2017.csv,12/10/2017,Technology,Hyderabad,Undisclosed investors,Seed Funding,"235,000",
25.0,,Policy Bazaar,,Online insurance policy aggregator,,,,,2017,Oct_2017.csv,13/10/2017,Consumer Internet,Gurgaon,"Wellington Management, DG Ventures India, True North",Private Equity,"77,000,000",
26.0,,Gapoon,,home maintenance services platform,,,,,2017,Oct_2017.csv,13/10/2017,Consumer Internet,Bangalore,"Vida Ventures, Snehal Mantri, Anshu Bahadur",Seed Funding,"250,000",
27.0,,Chaayos,,Online Chai ordering platform,,,,,2017,Oct_2017.csv,13/10/2017,eCommerce,Gurgaon,Tiger Global Management,Private Equity,"2,000,000",
28.0,,KrazyBee,,Micro-lending platform,,,,,2017,Oct_2017.csv,16/10/2017,Consumer Internet,Bangalore,"Xiaomi Technologies, Shunwei Capital",Private Equity,"8,000,000",
29.0,,Renew Buy,,Online Insurance Aggregator,,,,,2017,Oct_2017.csv,16/10/2017,Consumer Internet,New Delhi,Amicus Capital,Private Equity,"9,200,000",
30.0,,Fingerlix,,Food Ordering Portal,,,,,2017,Oct_2017.csv,17/10/2017,Consumer Internet,Bangalore,"Accel Partners, Zephyr Peacock",Private Equity,"7,000,000",
31.0,,Bank Bazaar,,Online Financial Marketplace,,,,,2017,Oct_2017.csv,18/10/2017,Consumer Internet,Chennai,Experian,Private Equity,"7,000,000",
32.0,,Hasura,,App building platform,,,,,2017,Oct_2017.csv,18/10/2017,Technology,Chennai,"Nexus, GREE Ventures",Private Equity,,
33.0,,BlackBuck,,B2B Logistics provider,,,,,2017,Oct_2017.csv,18/10/2017,Logistics,Bangalore,Innoven Capital,Private Equity,"7,700,000",
34.0,,LenDen Club,,Online peer-to-peer lending platform,,,,,2017,Oct_2017.csv,18/10/2017,Consumer Internet,Mumbai,Undisclosed Investor,Seed Funding,"500,000",
35.0,,Toppr,,Mobile based learning app,,,,,2017,Oct_2017.csv,23/10/2017,Consumer Internet,Mumbai,"SAIF Partners, Helion Ventures, FIL Capital Management",Private Equity,"7,000,000",
36.0,,RAW Pressery,,Cold pressed Juice maker,,,,,2017,Oct_2017.csv,23/10/2017,Food & Beverage,Mumbai,"DSG Consumer Partners, Sequoia Capital, Saama Capital",Private Equity,"6,000,000",
37.0,,Cashe,,app-only lending platform,,,,,2017,Oct_2017.csv,23/10/2017,Consumer Internet,Mumbai,IFMR Capital,Debt Funding,"3,100,000",
38.0,,Park Easy,,Machine learning based parking discovery,,,,,2017,Oct_2017.csv,23/10/2017,Consumer Internet,Kolkata,Rockstart Accelerator,Seed Funding,"118,000",
39.0,,TagBox,,Cold Chain monitoring solution,,,,,2017,Oct_2017.csv,24/10/2017,Technology,Bangalore,"Indian Angel network, IAN Fund",Seed Funding,,
40.0,,FYRE,,Herbal energy shot maker,,,,,2017,Oct_2017.csv,24/10/2017,Food & Beverage,Mumbai,Venture Catalysts,Seed Funding,"500,000",
41.0,,ZipLoan,,SME lending platform,,,,,2017,Oct_2017.csv,24/10/2017,Consumer Internet,New Delhi,"Matrix Partners India, WaterBridge Ventures, Whiteboard Capital, Sarbvir Singh",Private Equity,"3,000,000",
42.0,,Skillenza,,Online Learning Platform,,,,,2017,Oct_2017.csv,24/10/2017,Consumer Internet,Bangalore,"Blume Ventures, Indian Angel Network",Seed Funding,"722,000",
43.0,,Chevon,,Frozen Meat provider,,,,,2017,Oct_2017.csv,24/10/2017,Food & Beverage,Mumbai,Greenfield Advisory,Private Equity,,
44.0,,PropStory,,Real Estate content portal,,,,,2017,Oct_2017.csv,25/10/2017,Consumer Internet,Gurgaon,"Abhishek Bhatewara, Vivek Shah, Haitong Securities, Suraj Saharan, Paras Arora",Seed Funding,,
45.0,,SpotDraft,,Contract Automation,,,,,2017,Oct_2017.csv,25/10/2017,Consumer Internet,Gurgaon,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments",Seed Funding,"550,000",
46.0,,Big Basket,,Online Grocery portal,,,,,2017,Oct_2017.csv,26/10/2017,eCommerce,Bangalore,Helion Ventures Partners,Private Equity,"5,000,000",
47.0,,OfBusiness,,B2B Finance & Fulfilment Network,,,,,2017,Oct_2017.csv,27/10/2017,Technology,Gurgaon,Kotak Mahindra Bank,Debt Funding,"3,800,000",
48.0,,Olly Credit,,Credit + payment mobile app,,,,,2017,Oct_2017.csv,27/10/2017,Technology,New Delhi,"Incubate Fund, Sandesh Kirkire, Anand Kumar, Yogesh Chaudhary",Seed Funding,,
49.0,,CashFree,,Payments Platform for Marketplaces and Fintechs,,,,,2017,Oct_2017.csv,28/10/2017,Technology,New Delhi,Y Combinator,Seed Funding,"120,000",
50.0,,Ola Cabs,,App based cab hailing services,,,,,2017,Oct_2017.csv,28/10/2017,Consumer Internet,Bangalore,ANI Technologies Pvt. Ltd,Private Equity,"7,700,000",
51.0,,GoldFarm,,Agriculture Technology,,,,,2017,Oct_2017.csv,30/10/2017,Food & Beverage,Coimbatore,Mahindra & Mahindra and Infuse Ventures,Private Equity,"2,000,000",
52.0,,NetMeds,,Online Pharmacy,,,,,2017,Oct_2017.csv,31/10/2017,ECommerce,Chennai,TannCam Investment & Sistema Asia Fund,Private Equity,"14,000,000",
53.0,,MSE,,Equity Stock Exchange,,,,,2017,Oct_2017.csv,31/10/2017,Finance,Mumbai,"IL&FS, Trust Capital, Rosy Blue Securities, Radhakrishan Damani and Rakesh Jhunjhunwala",Private Equity,"32,000,000",
1.0,,Aahaa Stores,,Online B2B store for office supplies,,,,,2017,Sep_2017.csv,01/09/2017,eCommece,Chennai,YourNest Angel Fund,Private Equity,"1,000,000",
2.0,,MFine,,Online Doctor Discovery platform,,,,,2017,Sep_2017.csv,01/09/2017,Consumer Internet,Bangalore,"Stellaris Venture Partners, Mayur Abhaya, Rohit MA",Private Equity,"1,500,000",
3.0,,Canvera,,Online Photography platform,,,,,2017,Sep_2017.csv,01/09/2017,Consumer Internet,Mumbai,InfoEdge,Private Equity,"1,300,000",
4.0,,PrimaryIO,,Application Performance Acceleration,,,,,2017,Sep_2017.csv,04/09/2017,Technology,Pune,"Accel Partners, Exfinity Ventures, Partech Ventures",Private Equity,"5,600,000",
5.0,,Shubh Loans,,online lending platform,,,,,2017,Sep_2017.csv,05/09/2017,Consumer Internet,Bangalore,"SRI Capital, BeeNext, Pravega Ventures",Private Equity,"1,500,000",
6.0,,Nest Education,,EduTech Platform,,,,,2017,Sep_2017.csv,05/09/2017,Technology,Gurgaon,"Michael and Susan Dell Foundation, Anand Mahindra",Seed Funding,"600,000",
7.0,,Lending Kart,,Online Lending Platform,,,,,2017,Sep_2017.csv,06/09/2017,Consumer Internet,Ahmedabad,"Bertelsmann India, Mayfield Capital, Saama Capital, Darrin Capital",Private Equity,"10,750,000",
