Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry/ Vertical,Sub-Vertical,City / Location,Investors’ Name,Invest-mentType,Amount (in USD),Year,Source_File
26.0,07/10/2016,Flexiloans,Consumer Internet,Online Funds Raising Platform,Mumbai,"Sanjay Nayar, Vikram Sud, Anil Jaggia, Narayan Seshadri",Private Equity,"15,000,000",2016,Oct_2016.csv
27.0,07/10/2016,Sibia Analytics,Technology,Marketing & Customer Analytics Solutions,Kolkata,Radhakrishnan Natarajan & Others,Seed Funding,,2016,Oct_2016.csv
28.0,10/10/2016,Vithi.com,eCommerce,Online Hair Extension etailer,New Delhi,undisclosed investor,Seed Funding,"375,000",2016,Oct_2016.csv
29.0,11/10/2016,Yupp TV,Consumer Internet,Internet-based TV streaming service provider,Bangalore,Emerald Media,Private Equity,"50,000,000",2016,Oct_2016.csv
30.0,11/10/2016,Deyor Camps,Consumer Internet,Branded Camping location Aggregator,Gurgaon,"Nitin Passi, Manickam Mahalingam, Udaan Angels, Rajesh Arora, Arkas Industries",Seed Funding,"500,000",2016,Oct_2016.csv
31.0,12/10/2016,ZipLoan,Consumer Internet,online lending platform,New Delhi,"GrowX Ventures, Sunil Kalra, Arun Venkatachalam,  Badal Malick",Seed Funding,,2016,Oct_2016.csv
32.0,13/10/2016,FabAlley,ecommerce,online fashion brand store,Noida,"India Quotient, FAO Ventures, Indian Angel Network, Tushar Singh, Ranjan Sharma",Private Equity,"2,000,000",2016,Oct_2016.csv
33.0,13/10/2016,Shoekonnect,eCommerce,B2B Marketplace for Shoes,Agra,Indian Angel Network,Seed Funding,,2016,Oct_2016.csv
34.0,13/10/2016,Maya,Consumer Internet,Womens Health Tracker App,Bangalore,Rajan Anandan,Seed Funding,,2016,Oct_2016.csv
35.0,13/10/2016,RoboVac,Technology,waterless car washing solution,Ahmedabad,Virendra Patel,Seed Funding,"450,000",2016,Oct_2016.csv
36.0,14/10/2016,Newspatrolling,Consumer Internet,Online News portal,New Delhi,Undisclosed,Seed Funding,"25,000",2016,Oct_2016.csv
37.0,14/10/2016,Postman,Consumer Internet,API Platform,Bangalore,Nexus Venture Partners,Private Equity,"7,000,000",2016,Oct_2016.csv
38.0,14/10/2016,ISFC,Finance,Education Sector Lending,Hyderabad,Gray Matters Capital,Private Equity,"6,000,000",2016,Oct_2016.csv
39.0,14/10/2016,BeatRoute,Technology,SAAS based mobile application platform,Gurgaon,Quarizon Consultancy Services LLP,Seed Funding,,2016,Oct_2016.csv
40.0,14/10/2016,Kidsstoppress,Consumer Internet,Parenting and Baby care Platform,Mumbai,Karan Bhagat,Seed Funding,,2016,Oct_2016.csv
41.0,14/10/2016,Innov8,Consumer Internet,Co-Working Spaces aggregator,Bangalore,Punit Soni,Seed Funding,,2016,Oct_2016.csv
42.0,15/10/2016,DailyHunt,Consumer Internet,Vernacular content mobile app,Bangalore,"ByteDance, Arun Sarin, Matrix Partners, Sequoia Capital India, Omidyar Network,  Falcon Edge",Private Equity,"25,000,000",2016,Oct_2016.csv
43.0,15/10/2016,Tazzo Bikes,Consumer Internet,Motorbike rental platform,Hyderabad,DSG Consumer Partners,Seed Funding,"227,000",2016,Oct_2016.csv
44.0,15/10/2016,MyKindofJob,Consumer Internet,Internet & Fresher Job platform,Mumbai,"Mayank Shah, Shreyans Shah",Seed Funding,"1,000,000",2016,Oct_2016.csv
45.0,17/10/2016,Trilyo,Technology,B2B SAAS based product,Bangalore,"Vishnu Bhat, Rajiv Lunkad, Naresh Ravindranath",Seed Funding,,2016,Oct_2016.csv
46.0,17/10/2016,Rooter,Consumer Internet,Sports Social Network mobile app,New Delhi,"Boman Irani, Dhruv Chitgopekar, Prantik Dasgupta",Seed Funding,,2016,Oct_2016.csv
47.0,17/10/2016,Yumigo,Consumer Internet,App based Travel Discovery and Transactions platform,Gurgaon,Hemant Sahni,Seed Funding,"300,000",2016,Oct_2016.csv
48.0,17/10/2016,Rentalpha,Others,equipment rental and leasing company,Mumbai,Bravia Capital,Private Equity,"16,000,000",2016,Oct_2016.csv
49.0,18/10/2016,3Dexter,Technology,3D Printing Solutions for Edu space,New Delhi,Newbie Promoters,Seed Funding,"150,000",2016,Oct_2016.csv
50.0,18/10/2016,BabyChakra,Consumer Internet,Parenting and Child Care portal,Mumbai,RoundGlass Partners,Private Equity,,2016,Oct_2016.csv
51.0,18/10/2016,Coppre,eCommerce,Copper based items etailer,Pune,Ganesh Natarajan,Seed Funding,,2016,Oct_2016.csv
52.0,18/10/2016,MySUN,Technology,Solar Energy harnessing products marketplace,Noida,General Catalyst Partners,Private Equity,"2,500,000",2016,Oct_2016.csv
53.0,18/10/2016,ePathsala,Technology,Cloud based ERP for Accreditation & ICT,Bangalore,"Hyderabad Angels, TLabs",Seed Funding,,2016,Oct_2016.csv
54.0,19/10/2016,Furlenco,Consumer Internet,Online Furniture Rental platform,Bangalore,"Lightbox Ventures, Axis Capital & Others",Private Equity,"30,000,000",2016,Oct_2016.csv
55.0,19/10/2016,Fisdom,Consumer Internet,Personal Wealth Management Platform & App,Bangalore,"Saama Capital, Raghunandan G, Aprameya Radhakrishna",Private Equity,"1,100,000",2016,Oct_2016.csv
56.0,19/10/2016,Actofit,Technology,Wearable Technology platform & devices,Mumbai,Next Orbit Ventures Fund,Private Equity,"750,000",2016,Oct_2016.csv
57.0,20/10/2016,Stayology,Consumer Internet,Stay & Travel related services,Bangalore,Ranjan Pai,Seed Funding,,2016,Oct_2016.csv
58.0,20/10/2016,Hipcask,Consumer Internet,Alcoholic beverage discovery platform,Mumbai,Mobikon,Seed Funding,,2016,Oct_2016.csv
59.0,20/10/2016,RailYatri,Consumer Internet,Train Travel Info mobile app,Noida,"Helion Ventures, Blume ventures",Private Equity,,2016,Oct_2016.csv
60.0,21/10/2016,ChatOnGo,Consumer Internet,Hyperlocal  Communication Mobile app,Mumbai,Janak Jain,Seed Funding,"300,000",2016,Oct_2016.csv
61.0,23/10/2016,WOTU,eCommerce,B2B Marketplace for traders,Bangalore,KAE capital,Seed Funding,,2016,Oct_2016.csv
62.0,24/10/2016,Healthians,Consumer Internet,Health Test Discovery & Ordering service,Gurgaon,BEENEXT,Private Equity,"3,000,000",2016,Oct_2016.csv
63.0,24/10/2016,Box8,Consumer Internet,Online Food Ordering platform/App,Mumbai,"IIFL Seed Ventures Fund, Mayfield Ventures",Private Equity,"7,500,000",2016,Oct_2016.csv
64.0,25/10/2016,Kredx,eCommerce,Invoice discounting marketplace,Bangalore,Sequoia Capital,Private Equity,"6,000,000",2016,Oct_2016.csv
65.0,25/10/2016,CreditMate,Consumer Internet,Credit Report Info platform,Mumbai,India Quotient,Seed Funding,"500,000",2016,Oct_2016.csv
66.0,25/10/2016,Pickrr,Technology,Courier Logistics & Order management Solutions,New Delhi,Swastika Company Ltd,Seed Funding,,2016,Oct_2016.csv
67.0,25/10/2016,SatvaKart,eCommerce,Online Grocery Etailer,Gurgaon,Nimit Panigrahi,Seed Funding,,2016,Oct_2016.csv
68.0,25/10/2016,SooperMO,Technology,Android utility app suite creator,Gurgaon,Lalit Vase,Seed Funding,"100,000",2016,Oct_2016.csv
69.0,26/10/2016,OrangeTwig,Consumer Internet,Social Media Marketing platform,New Delhi,Undisclosed investor,Seed Funding,"1,000,000",2016,Oct_2016.csv
70.0,26/10/2016,Wooplr,Consumer Internet,Fashion Discovery App,Bangalore,"Astarc Ventures, Anand Chandrasekaran",Seed Funding,,2016,Oct_2016.csv
71.0,26/10/2016,The Kettlery,eCommerce,Online Tea Etailer,Ahmedabad,"hooting Starts Sports LLP, Franchise India Brands",Private Equity,"1,000,000",2016,Oct_2016.csv
72.0,27/10/2016,Idea Bubbles,Consumer Internet,Doctor Consulting platform,Bangalore,"1Crowd, Eureka Forbes Ltd, Shapoorji Pallonji & Co. Ltd.",Private Equity,"700,000",2016,Oct_2016.csv
73.0,27/10/2016,FR8,Technology,Truck Fleet Operation platform,Chennai,Omnivore Partners,Private Equity,"971,000",2016,Oct_2016.csv
74.0,27/10/2016,Ather Energy,Technology,Electric Vehicle Manufacturer,Bangalore,Hero MotoCorp,Private Equity,"27,000,000",2016,Oct_2016.csv
75.0,28/10/2016,Pikkol,Logistics,Relocation Service provider,Bangalore,"Ajay Nanavati, Afsal Salu",Seed Funding,,2016,Oct_2016.csv
76.0,29/10/2016,Velmenni,Technology,LiFi based wireless communication provider,New Delhi,Kalaari Capital,Seed Funding,"100,000",2016,Oct_2016.csv
77.0,29/10/2016,Volta Motors,Technology,Electric Bike Manufacturer,Chennai,Kalaari Capital,Seed Funding,"100,000",2016,Oct_2016.csv
78.0,29/10/2016,Cyclops,Technology,Clinical and Wearable Diagnostic Product creator,Bangalore,Kalaari Capital,Seed Funding,"100,000",2016,Oct_2016.csv
79.0,30/10/2016,Impact Analytics,Technology,Business intelligence and data science Startup,Bangalore,"Aarin Capital, Michael Herzig, Ashish Lakhanpal",Private Equity,"750,000",2016,Oct_2016.csv
80.0,31/10/2016,Talent Next,Consumer Internet,Talent Discovery & Audition management platform,Mumbai,Karanpal Singh & Others,Seed Funding,"1,000,000",2016,Oct_2016.csv
81.0,,,,,,,,,2016,Oct_2016.csv
1.0,01/9/2016,Mad Street Den,Technology,Artificial Intelligence platform,Chennai,"Sequoia India, Exfinity Ventures, growX ventures,",Private Equity,,2016,Sep_2016.csv
2.0,01/9/2016,Mihup,Technology,Personal Digital Assistant,Kolkata,Accel Partners,Private Equity,"6,700,000",2016,Sep_2016.csv
3.0,01/9/2016,Renowala,eCommerce,Home Improvement Marketplace,Hyderabad,Pradeep Dhobale,Seed Funding,,2016,Sep_2016.csv
4.0,01/9/2016,Lucideus,Technology,IT Risk Assessment and Digital Security Services provider.,New Delhi,Amit Choudhary,Seed Funding,,2016,Sep_2016.csv
5.0,04/9/2016,Trackbizz,Technology,Field Force Automation System,Kochi,Grasshoppers,Private Equity,,2016,Sep_2016.csv
6.0,05/9/2016,Social Quotient,Technology,Platform for Social Causes,Mumbai,"Anita Dongre, Yash Dongre, Milind Sarwate",Seed Funding,,2016,Sep_2016.csv
7.0,05/9/2016,Stalk Buy Love,eCommerce,Fashion Apparel eTailer,New Delhi,William Bissel,Seed Funding,,2016,Sep_2016.csv
8.0,06/9/2016,eShakti,eCommerce,Women’s Fashion Apparel eTailer,Chennai,"Infina Finance Pvt. Ltd, Uday Kotak",Private Equity,"1,350,000",2016,Sep_2016.csv
9.0,06/9/2016,CheersOye!,Consumer Internet,Online Gift Vouchers platform,Mumbai,Undisclosed Investors,Seed Funding,"500,000",2016,Sep_2016.csv
10.0,06/9/2016,Lenskart,eCommerce,Online Eyewear eTailer,New Delhi,PremjiInvest,Private Equity,,2016,Sep_2016.csv
11.0,06/9/2016,BigStylist,Consumer Internet,Hyperlocal doorstep Beauty Services provider,Mumbai,Info Edge (India) Ltd,Private Equity,"900,000",2016,Sep_2016.csv
12.0,07/9/2016,Zilingo,eCommerce,Online Fashion Retailer,Bangalore/ Bangkok,"Venturra Capital, Sequoia India, Susquehanna International Group.  Wavemaker Partners, Beenext, Beenos, Digital Garage",Private Equity,"8,000,000",2016,Sep_2016.csv
13.0,07/9/2016,Alternacare,Consumer Internet,Online Doctor Consulting platform,New Delhi,Eros Labs,Seed Funding,"500,000",2016,Sep_2016.csv
14.0,07/9/2016,Simplilearn,Education,Online Certification programs,Bangalore,InnoVen Capital India,Private Equity,"6,000,000",2016,Sep_2016.csv
15.0,07/9/2016,Prozo,eCommerce,Study Material Marketplace,Gurgaon,"Earlsfield Capital, Sailender Solanki, Rajiv Solanki",Seed Funding,"315,000",2016,Sep_2016.csv
16.0,08/9/2016,TopRankers,Education,Online Test Preparation platform,Bangalore,"CareerNet Consulting Pvt. Ltd, Ideation Initiative Pvt. Ltd,",Seed Funding,"670,000",2016,Sep_2016.csv
17.0,08/9/2016,BuildTraders,eCommerce,Online Construction Materials Marketplace,Bangalore,Idein Ventures,Seed Funding,"200,000",2016,Sep_2016.csv
18.0,09/9/2016,Byju’s,Education,Online Learning App,Bangalore,"Chan Zuckerberg Initiative, Times Internet Ltd, Sequoia Capital, Sofina, Lightspeed Ventures",Private Equity,"50,000,000",2016,Sep_2016.csv
29.0,09/9/2016,NoBroker,Consumer Internet,Online Home Rental platform,Bangalore,Anand Chandrasekaran,Seed Funding,,2016,Sep_2016.csv
20.0,10/9/2016,Freshboxx,eCommerce,Fruits & vegetable eTailer,Hubli,Ravi Linganuri,Seed Funding,,2016,Sep_2016.csv
21.0,10/9/2016,CureInstant,Consumer Internet,Social Health Networking Platform,New Delhi,Dr. Rameshwar Kumar,Seed Funding,"150,000",2016,Sep_2016.csv
22.0,10/9/2016,Poshtic,Consumer Internet,Online health & Wellness platform,Noida,"havya Sharma, Amit Nagar",Seed Funding,"450,000",2016,Sep_2016.csv
23.0,10/9/2016,KarmaCircles,Consumer Internet,Peer-to-peer Social Learning platform,New Delhi,"Harinder Takhar, Zain Raj, Dr. Prasad Kaipa, Abaran Deep, Aseem Sood, Mustafa Patni",Seed Funding,,2016,Sep_2016.csv
24.0,12/9/2016,Purple Style Labs,Consumer Internet,Personal Styling Online platform,Mumbai,"Augment Ventures, Rahul Kayan, Nikhil Golcha, Shubham Gupta, Roy Kwan",Seed Funding,"448,000",2016,Sep_2016.csv
25.0,12/9/2016,Inuxu,Technology,Online Advertising Solutions,Pune,Fork Media,Private Equity,"3,000,000",2016,Sep_2016.csv
26.0,12/9/2016,Nykaa,eCommerce,Online Beauty products eTailer,Mumbai,"Sunil Munjal, Mariwala family",Private Equity,"12,300,000",2016,Sep_2016.csv
27.0,12/9/2016,Glam Studios,Consumer Internet,Beauty Salon Aggregator,Noida,"Pradeep Mirani, Aqeel Ahmed, Anand Ladsariya, Nitin Agarwal",Seed Funding,"300,000",2016,Sep_2016.csv
28.0,13/9/2016,Findow,Consumer Internet,Fashion Discovery Mobile app,Bangalore,Raj Singh Bhandal,Seed Funding,,2016,Sep_2016.csv
29.0,13/9/2016,IdeaChakki,Consumer Internet,Restaurant Menu & Food mobile app,Delhi,Ratan Tata,Seed Funding,,2016,Sep_2016.csv
30.0,13/9/2016,ShoeKonnect,eCommerce,Footwear & Leather B2B App,Agra,Indian Angels Network,Seed Funding,,2016,Sep_2016.csv
31.0,13/9/2016,NearBuy,Consumer Internet,Online Deals & Discount platform,Gurgaon,BlackSoil Capital Pvt. Ltd.,Private Equity,"2,500,000",2016,Sep_2016.csv
32.0,14/9/2016,ZeroInfy,Consumer Internet,Online Video Lectures platform,Kolkata,Calcutta Angels Network,Seed Funding,,2016,Sep_2016.csv
33.0,14/9/2016,Flocareer,Consumer Internet,Jobs & Skill Validation platform,Bangalore,"Balasubramanian Krishnamurthy, Sidhartha Hazarika & Others",Seed Funding,"150,000",2016,Sep_2016.csv
34.0,14/9/2016,LensPick,eCommerce,eyewear eTailer,Bangalore,Scadea Solutions Inc,Private Equity,,2016,Sep_2016.csv
35.0,15/9/2016,infeedo,Consumer Internet,Employee engagement platform,Gurgaon,"Dheeraj Jain, Palash Jain, Anupam Mittal, Ameera Shah,  Vivek Bhargava, Rahul Singh, Ambarish Gupta,",Seed Funding,"200,000",2016,Sep_2016.csv
36.0,15/9/2016,Furlenco,eCommerce,Online furniture rental startup,Bangalore,Lightbox Ventures and others,Private Equity,"5,000,000",2016,Sep_2016.csv
37.0,15/9/2016,GoPigeon,Consumer Internet,on-demand logistics service provider,Bangalore,Nexus Venture Partners,Private Equity,"1,500,000",2016,Sep_2016.csv
38.0,16/9/2016,NewsDistill,Consumer Internet,City based News Aggregator App,Hyderabad,"Ganesh Narasimhan, Ramana Thumu, Sudhir Mallem",Seed Funding,"100,000",2016,Sep_2016.csv
39.0,16/9/2016,DoctorInsta,Consumer Internet,Online Doctor Consultations,Gurgaon,RoundGlass Partners,Private Equity,"1,000,000",2016,Sep_2016.csv
40.0,19/9/2016,Milofy,Consumer Internet,Couple Socialization App,Bangalore,Accel Partners,Seed Funding,"750,000",2016,Sep_2016.csv
41.0,19/9/2016,Liqvid,Technology,Integrated eLearning content solutions,New Delhi,Gray Matters Capital,Private Equity,,2016,Sep_2016.csv
42.0,19/9/2016,Swiggy,Consumer Internet,Online Food Ordering & Delivery,Bangalore,Bessemer Venture Partners,Private Equity,"15,000,000",2016,Sep_2016.csv
43.0,20/9/2016,Codemojo,Consumer Internet,Customer Engagement Platform,Bangalore,CIO Angel Network,Seed Funding,,2016,Sep_2016.csv
44.0,20/9/2016,JustLikeNew,eCommerce,Online gadget Repair Services Marketplace,Hyderabad,LetsVenture,Seed Funding,"500,000",2016,Sep_2016.csv
45.0,20/9/2016,JoeHukum,Technology,Enterprise customer engagement solutions,New Delhi,Sumit Jain,Seed Funding,,2016,Sep_2016.csv
46.0,21/9/2016,Co Life,Consumer Internet,shared living and working spaces platform,Bangalore,Undisclosed Investors,Seed Funding,"1,000,000",2016,Sep_2016.csv
47.0,21/9/2016,PurpleDocs,Consumer Internet,Electronic Health care records platform,Vadodara,"KellyGamma, Lead Angels & Others",Seed Funding,,2016,Sep_2016.csv
48.0,21/9/2016,Pepperfry,eCommerce,Furniture eTailer,Mumbai,"Goldman Sachs Group, Zodius Technology Fund, Norwest Venture Partners, Bertelsmann India",Private Equity,"31,300,000",2016,Sep_2016.csv
49.0,21/9/2016,eQuickies,eCommerce,Online Book etailer,Ahmedabad,Lothal Angel Ventures,Seed Funding,"298,000",2016,Sep_2016.csv
50.0,21/9/2016,Khel Now,Consumer Internet,Mobile-based social networking platform,New Delhi,Anglian Omega Network,Seed Funding,"350,000",2016,Sep_2016.csv
51.0,22/9/2016,Gadgetwood,Consumer Internet,On-Demand Gadget repair services platform,New Delhi,Carpediem Capital,Private Equity,"6,000,000",2016,Sep_2016.csv
52.0,22/9/2016,DailyRounds,Consumer Internet,Mobile App for Doctors,Bangalore,"Accel Partners, Beenext, Powerhouse Ventures, Akusa Holdings",Private Equity,,2016,Sep_2016.csv
53.0,22/9/2016,Flixy Games,Technology,Mobile Game Publisher for Indian audience,Bangalore,Rebright Partners,Seed Funding,"425,000",2016,Sep_2016.csv
54.0,22/9/2016,HashTaag,Technology,Mobile App Development company,Bangalore,Undisclosed investors,Seed Funding,"1,000,000",2016,Sep_2016.csv
55.0,22/9/2016,PharmaRack,Technology,SAAS application for Pharma Industry,Pune,"Currae Healthtech Fund, Unicorn India Ventures",Private Equity,"745,000",2016,Sep_2016.csv
56.0,23/9/2016,CloudCherry,Technology,CRM SAAS Platform,Chennai,"Vertex Ventures, Cisco Ventures, IDG Ventures",Private Equity,"6,000,000",2016,Sep_2016.csv
57.0,23/9/2016,Parentlane,Consumer Internet,Social Platform for babycare and parenting,Bangalore,Rohit MA,Seed Funding,,2016,Sep_2016.csv
58.0,23/9/2016,First Moms Club,Consumer Internet,Social Network for Mothers,Mumbai,Idea Wave Labs,Seed Funding,,2016,Sep_2016.csv
59.0,23/9/2016,inMotion,Technology,Financial platform for daily wage earning communities,Noida,"Prashant Tandon, Gaurav Agarwal, Gaurav Bhogle, Shrishti Sahu, Shantanu Mathur, Prabhat Aggarwal",Seed Funding,,2016,Sep_2016.csv
60.0,26/9/2016,Let’s Barter,Consumer Internet,Goods & Services Barter Platform,New Delhi,Scale Ventures Funds,Seed Funding,,2016,Sep_2016.csv
61.0,26/9/2016,EvenGini,Consumer Internet,Event Registration and Ticketing platform,Chennai,Procam International Pvt. Ltd,Private Equity,,2016,Sep_2016.csv
62.0,27/9/2016,TinyStep,Consumer Internet,Parenting Network Platform,Bangalore,Flipkart Logistics Pvt. Ltd,Private Equity,"1,580,000",2016,Sep_2016.csv
63.0,27/9/2016,Canvs,Consumer Internet,Community Platform for Artists and Designers,Mumbai,Pratik Seal,Seed Funding,,2016,Sep_2016.csv
64.0,28/9/2016,Beardo,eCommerce,Mens Grooming products etailer,Ahmedabad,Venture Catalysts,Seed Funding,"500,000",2016,Sep_2016.csv
65.0,28/9/2016,Instacar,Consumer Internet,Out-Station Taxi Rental Platform,Indore,Swastika Co Ltd.,Seed Funding,"1,000,000",2016,Sep_2016.csv
66.0,28/9/2016,Celes Care,Consumer Internet,Virtual Health Clinic for Women,Hyderabad,Endiya Partners,Seed Funding,"1,000,000",2016,Sep_2016.csv
67.0,28/9/2016,Druva,Technology,Cloud Based Data Protection Solution,Pune,"Sequoia India, EDBI, Blue Cloud Ventures, Hercules Capital",Private Equity,"51,000,000",2016,Sep_2016.csv
68.0,29/9/2016,Promon,eCommerce,Local Commerce Platform,New Delhi,Now Capital,Seed Funding,"180,000",2016,Sep_2016.csv
69.0,29/9/2016,Fastudent,eCommerce,Education eCommerce platform,Noida,"Kanwaljit Singh, Ajay Lakhotia, Pavan Ongole, Ashish Gupta",Seed Funding,,2016,Sep_2016.csv
70.0,29/9/2016,Unocoin,Consumer Internet,Bitcoin Wallet,Bangalore,"Blume Ventures, Mumbai Angels, ah! Ventures, Digital Currency Group, Boost VC, Bank to the Future and Funders Club",Private Equity,"1,500,000",2016,Sep_2016.csv
71.0,30/9/2016,Demyto,Consumer Internet,Vehicle maintenance Services platform,Pune,Deepak Nathani,Seed Funding,,2016,Sep_2016.csv
72.0,30/9/2016,Zeta,Technology,Enterprise Cloud Solutions,Mumbai,Bhavin Turakhia,Private Equity,"19,000,000",2016,Sep_2016.csv
73.0,30/9/2016,Kalaage,Consumer Internet,Social Networking Platform for Writers,Jaipur,Rajasthan Angel Innovators Network,Seed Funding,,2016,Sep_2016.csv
74.0,30/9/2016,,,,,,,,2016,Sep_2016.csv
75.0,30/9/2016,,,,,,,,2016,Sep_2016.csv
76.0,,,,,,,,,2016,Sep_2016.csv
,,,,,,,,,2016,Sep_2016.csv
