Sr. No.,Date,Startup Name,Industry/Vertical,Sub-Vertical,City,Investor Name,Investment Type,Amount(in USD),Year,Source_File
1.0,01/12/2018,UrbanClap Technologies Pvt. Ltd,Services Platform,Home services marketplace,New Delhi,Steadview Capital and Vy Capital.,Series D,"50,000,000",2018,Dec_2018.csv
2.0,02/12/2018,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,"800,000",2018,Dec_2018.csv
3.0,02/12/2018,Career Anna,Online Education,"Video-based certification, trainings",Gurugram,Individual Investors,Pre-Series A,"572,000",2018,Dec_2018.csv
4.0,04/12/2018,Nagpur Wholesale,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,"143,000",2018,Dec_2018.csv
5.0,06/12/2018,ShopKirana,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,"2,000,000",2018,Dec_2018.csv
6.0,06/12/2018,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,"3,500,000",2018,Dec_2018.csv
1.0,01/02/2018,BigBasket,Consumer Internet,Online Grocery & Food Store,Bengaluru,"Alibaba, Helion Venture Partners, Bessemer Venture Partners, Ascent Capital",Private Equity,"300,000,000",2018,Feb_2018.csv
2.0,01/02/2018,Zomato,Food and Beverages,Food Ordering and Restaurant Discovery,Gurugram,Ant Financials,Private Equity,"200,000,000",2018,Feb_2018.csv
3.0,05/02/2018,Pratilipi,Publishing,E-Publishing,Bengaluru,Omidyar Network,Private Equity,"4,300,000",2018,Feb_2018.csv
4.0,05/02/2018,Asia Institute Of Medical Science,Healthcare,Super-specialty Hospital,Faridabad,CDC Group Plc,Private Equity,"21,000,000",2018,Feb_2018.csv
5.0,05/02/2018,CollegeDekho,Consumer Internet,Online platform for Higher Education Services,Gurugram,"Man Capital LLP, Girnar Software, Others",Private Equity,"2,000,000",2018,Feb_2018.csv
6.0,06/02/2018,Foodmemories,Consumer Internet,Online Food Marketplace,Ahemdabad,"Bhavesh Manglani, Suraj Saharan, Darshan Upadhyay, Sanjay Notani & Others",Seed funding,,2018,Feb_2018.csv
7.0,06/02/2018,Healthi,Healthcare,Preventive Health Checkup,Bengaluru,Montane Ventures,Private Equity,"3,100,000",2018,Feb_2018.csv
8.0,07/02/2018,Swiggy,Food and Beverages,Online Food Delivery,Bengaluru,Naspers,Private Equity,"100,000,000",2018,Feb_2018.csv
9.0,08/02/2018,Shape,Healthcare,"Online Portal for Diet,fitness and Beauty",Pune,Sandeep Mathur,Seed / Angle Funding,"100,000,000",2018,Feb_2018.csv
10.0,08/02/2018,Icertis,Consumer Internet,Enterprise Contract Management Platform,Pune,Meritech Capital Partners,Private Equity,"50,000,000",2018,Feb_2018.csv
11.0,09/02/2018,healthifyme,Healthcare,Mobile Weight Loss Coach,Bengaluru,Sistema Asia Fund,Private Equity,"12,000,000",2018,Feb_2018.csv
12.0,09/02/2018,MedTel,Healthcare,Virtual health clinics,Bhubaneswar,British and Indian Governments,Private Equity,,2018,Feb_2018.csv
13.0,09/02/2018,Rupeek,Consumer Internet,Online Gold Loan,Bengaluru,"Accel Partners, Sequoia Capital",Private Equity,"6,830,000",2018,Feb_2018.csv
14.0,09/02/2018,WebEngage,Technology,Marketing Cloud for consumer businesses,Mumbai,Social Capital,Private Equity,,2018,Feb_2018.csv
15.0,12/02/2018,Lendingkart,Finance,Online Lending Platform,Bengaluru,Fullerton Financial Holdings Pte Ltd & Others,Private Equity,"87,000,000",2018,Feb_2018.csv
16.0,12/02/2018,Wydr,Consumer Internet,B2B Marketplace,Gurugram,"Bessemer Venture Partners, Stellaris Venture Partners, Axis Capital, Singapore, Jungle Venture Partners",Private Equity,,2018,Feb_2018.csv
17.0,12/02/2018,Cashify,E-Commerce,Online Selling,Gurugram,Trifecta Capital,Debt Funding,"935,089",2018,Feb_2018.csv
18.0,13/02/2018,holachef,Food and Beverages,Online Food Delivery,Mumbai,Ashok Kumar Gajera,Seed / Angle Funding,"311,200",2018,Feb_2018.csv
19.0,13/02/2018,Awaaz De,Technology,Mobile Solutions for Social Impact,Ahmedabad,Tribe Impact Capital LLP,Seed / Angle Funding,,2018,Feb_2018.csv
20.0,13/02/2018,IMAX Program,Ed-Tech,Individualised Progressive Learning Program,Bengaluru,"Michael & Susan Dell Foundation, LGT Impact Ventures",Private Equity,"13,500,000",2018,Feb_2018.csv
21.0,14/02/2018,Littlemore,Ed-Tech,Online Education Platform,Chennai,Kalpavriksh,Private Equity,"3,000,000",2018,Feb_2018.csv
22.0,14/02/2018,Toppr,Ed-Tech,Online Education Platform,Mumbai,Axis Capital Partners,Private Equity,"100,000",2018,Feb_2018.csv
23.0,14/02/2018,Shirsa Labs,Ed-Tech,Integrated Kids Engagement Company,Mumbai,"Dewang Neralla, Mahesh Kothurkar,Atul Agarwal",Private Equity,"500,000",2018,Feb_2018.csv
24.0,14/02/2018,MoneyOnMobile,Technology,mobile payment platform,Mumbai,S7 Group,Private Equity,"5,000,000",2018,Feb_2018.csv
25.0,15/02/2018,PetSutra,Consumer Internet,Online Pet Care Products,Gurugram,Michael Patrick Hickey,Seed / Angel Funding,"148,434",2018,Feb_2018.csv
26.0,15/02/2018,Infibeam,E-Commerce,Online Retailing,Ahemadabad,Network 18,Private Equity,"6,230,000",2018,Feb_2018.csv
27.0,16/02/2018,happay,Finance,Expense Management,Bengaluru,Sequoia and Jerry Yang,Seed / Angel Funding,"250,000",2018,Feb_2018.csv
28.0,16/02/2018,Fincash,Finance,Fin-Tech,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed / Angel Funding,"150,000",2018,Feb_2018.csv
29.0,19/02/2018,AyeFinance,Finance,Online Lending,Gurugram,"Hinduja Leyland Finance, IntelleGrow",Private Equity,"3,800,000",2018,Feb_2018.csv
30.0,20/02/2018,Agricxlab,Agriculture,Agri-tech,Mumbai,Ankur Capital,Seed / Angel Funding,"500,000",2018,Feb_2018.csv
31.0,21/02/2018,Udaan,E-Commerce,B2B Marketplace,Bengaluru,Lightspeed & Yuri Milner,Private Equity,"50,000,000",2018,Feb_2018.csv
32.0,21/02/2018,Capillary,IT,SaaS,Bengaluru,"Wargburg Pincus, Sequoia",Private Equity,"20,000,000",2018,Feb_2018.csv
33.0,21/02/2018,The Healthy Billions,Healthcare,Analytics,Gurugram,"Blume Ventures, HealthQuad and Fireside Ventures",Private Equity,"2,100,000",2018,Feb_2018.csv
34.0,21/02/2018,HighRadius,Technology,Cloud-based Software,Hyderabad,"PNC, Citi Ventures",Private Equity,,2018,Feb_2018.csv
35.0,26/02/2018,Avishkaar Box,Ed-Tech,Education,Delhi,Auxano Deals,Private Equity,"772,500",2018,Feb_2018.csv
36.0,26/02/2018,Planys Technologies,Technology,Robotic InspectionStartup,Chennai,"Kris Gopalakrishnan, Pratithi Investment Trust, MEMG Family Office, S Gopal",Private Equity,"1,040,000",2018,Feb_2018.csv
37.0,27/02/2018,Lollypop,Technology,Digital Design,Bengaluru,Dr Devi Shetty,Seed / Angel Funding,,2018,Feb_2018.csv
38.0,27/02/2018,Trilyo,Technology,AI platform for hospitality industry,Mumbai,"Startup Buddy,Amit Manocha and others",Seed / Angel Funding,"250,000",2018,Feb_2018.csv
40.0,28/02/2018,Gaana,Technology,Online Music Streaming,Gurugram,"Tencent Holdings Ltd, Times Internet",Private Equity,"115,000,000",2018,Feb_2018.csv
41.0,28/02/2018,Credy,IT,SaaS,Bengaluru,"Y Combinator, Khosla Ventures, Vy Capital and others",Seed / Angel Funding,"1,400,000",2018,Feb_2018.csv
42.0,28/02/2018,Predible Health,Healthcare,Cancer radiology,Bengaluru,Unitus Seed Fund,Seed/Angel Funding,,2018,Feb_2018.csv
1.0,2/1/2018,CleverTap,Technology,Mobile App Analytics,Mumbai,"Recruit Holdings, Sequoia Capital India, Accel Partners",Angel / Seed Funding,,2018,Jan_2018.csv
2.0,4/1/2018,EarlySalary,Finance,Online Lending,Pune,Eight Roads Ventures India,Private,"15,700,000",2018,Jan_2018.csv
3.0,5/1/2018,WOTU,E-commerce,Food and Beverages,Bengaluru,"Claris Capital, Mumbai Angels Network",Angel / Seed Funding,,2018,Jan_2018.csv
4.0,8/1/2018,DAAKI,E-commerce,Sports Nutrition Supplement etailer,Bengaluru,Rohan Agila,Angel / Seed Funding,,2018,Jan_2018.csv
5.0,9/1/2018,Lendingkart,Finance,Online Lending,Ahmedabad,Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden N.V.,Debt Funding,"4,700,000",2018,Jan_2018.csv
6.0,9/1/2018,Kinsane Entertainment Inc,Entertainment,Digital Entertainment for Children,Mumbai,,Seed/Angel Funding,"2,500,000",2018,Jan_2018.csv
7.0,10/1/2018,Tapzo,Technology,Personal Assistant,Bengaluru,RuNet & Other,Private Equity,"1,930,000",2018,Jan_2018.csv
8.0,10/1/2018,Appario Retail Pvt Ltd.,E-commerce,Retail,Delhi,Amazon-Patni JV,Private Equity,"18,840,000",2018,Jan_2018.csv
9.0,10/1/2018,Samunnati,Finance,Agricultural Loan,Chennai,"responsAbility, Elevar Equity and Accel Partners",Private Equity,"23,500,000",2018,Jan_2018.csv
10.0,10/1/2018,Sahajanand Medical Technologies,Technology,Medical Devices,Surat,Morgan Stanley Private Equity Asia,Private Equity,"36,230,000",2018,Jan_2018.csv
11.0,12/1/2018,Kuants,Technology,Algorithmic Trading,Gurgaon,"Pankaj Chopra, Ankush Gupta",Angel / Seed Funding,"80,000",2018,Jan_2018.csv
12.0,12/1/2018,Razorpay,Technology,Payment Gateway,Bengaluru,"Tiger Global, Y Combinator",Private Equity,"20,000,000",2018,Jan_2018.csv
13.0,15/1/2018,Streak,Technology,Algorithmic Trading,Bengaluru,"Indian fintech fund, Rainmatter",Angel / Seed Funding,"354,600",2018,Jan_2018.csv
14.0,15/1/2018,pi Ventures,Finance,Venture Capital,Bengaluru,"Sunil Kant Munjal, Hero Electronix’s corporate financing arm, Electronic Development Fund",Private Equity,"25,000,000",2018,Jan_2018.csv
15.0,15/1/2018,Newgen Software,Technology,IT,New Delhi,"Goldman Sachs, hedge fund & Others",Private Equity,"20,000,000",2018,Jan_2018.csv
16.0,17/1/2018,Rubix,Technology,Education,Pune,Polaris Fund,Private Equity,"1,000,000",2018,Jan_2018.csv
17.0,18/1/2018,ShareChat,Technology,Social,Bengaluru,"Xiaomi Singapore, Shunwei Capital",Private Equity,"18,200,000",2018,Jan_2018.csv
18.0,22/1/2018,Paperflite,Technology,IT,Chennai,The Chennai Angels,Angel / Seed Funding,"400,000",2018,Jan_2018.csv
19.0,22/1/2018,HungerBox,Consumer Internet,Food and Beverages,Bangalore,Lionrock Capital,Private Equity,"2,500,000",2018,Jan_2018.csv
20.0,22/1/2018,Skillate,Technology,Artificial Intellegence,Bengaluru,"Incubate Fund India, Anuj Agrawal",Private Equity,,2018,Jan_2018.csv
21.0,22/1/2018,OptaCredit,Finance,Alternative Lending,Chennai,DMI Finance,Private Equity,"4,000,000",2018,Jan_2018.csv
22.0,22/1/2018,AEON Learning,Technology,Education,Bengaluru,Dr. Ranjan Pai,Private Equity,"3,200,000",2018,Jan_2018.csv
23.0,23/1/2018,Milkbasket,E-commerce,Online Grocery,Gurugram,Unilever Ventures,Private Equity,"3,000,000",2018,Jan_2018.csv
24.0,24/1/2018,NeoGrowth Credit,Finance,Digital Lending,Mumbai,"LeapFrog Investments, Aspada Investment, Quona Capital",Private Equity,"47,000,000",2018,Jan_2018.csv
25.0,24/1/2018,Rao IIT Academy,Education,Coaching Services,Mumbai,Avendus Finance,Structured Debt,"8,600,000",2018,Jan_2018.csv
26.0,24/1/2018,Aye Finance,Finance,Online Lending,Gurugram,IFMR Capital,Term Loan,"6,240,000",2018,Jan_2018.csv
27.0,25/1/2018,Glassic,Ecommerce,Eyewear,Bengaluru,"Chennai Angels, Lead Angels, LetsVenture",Angel / Seed Funding,,2018,Jan_2018.csv
28.0,25/1/2018,GreyAtom,Technology,Education,Mumbai,Pravega Ventures,Private Equity,"1,000,000",2018,Jan_2018.csv
29.0,26/1/2018,Axio,Healthcare,Hemostatic Dressing Solutions,Bengaluru,RNT Capital,Private Equity,"7,400,000",2018,Jan_2018.csv
30.0,29/1/2018,eKincare,Healthcare,Technology,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, Touchstone Equities, BVR Mohan Reddy",Private Equity,"1,500,000",2018,Jan_2018.csv
31.0,29/1/2018,The Wedding Brigade,Consumer internet,Online Services,Mumbai,Blume Ventures,Private Equity,"1,000,000",2018,Jan_2018.csv
32.0,30/1/2018,PeeSafe,Healthcare,Hygiene,Gurugram,"Shivani Singh, Rahul Maroli, Mitesh Shah, Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures.",Private Equity,"1,000,000",2018,Jan_2018.csv
33.0,30/1/2018,BrowserStack,Technology,Browser Testing,Mumbai,Accel Partners,Private Equity,"50,000,000",2018,Jan_2018.csv
34.0,30/1/2018,Scapic,Technology,Virtual Reality,Bengaluru,"Axilor Ventures, Newfort Capital",Angel / Seed Funding,"500,000",2018,Jan_2018.csv
35.0,30/1/2018,MoneyOnMobile,Technology,Mobile Payment Platform,Mumbai,Undisclosed Investors,Private Equity,"7,600,000",2018,Jan_2018.csv
36.0,30/1/2018,CureFit,Healthcare,Fitness,Bengaluru,"HDFC Bank, Axis Bank",Debt Funding,"10,000,000",2018,Jan_2018.csv
37.0,31/1/2018,iNurture,Technology,Education Solutions,Bengaluru,Ventureast,Private Equity,"4,400,000",2018,Jan_2018.csv
1.0,01/07/2018,Leena AI,Technology,HR Virtual Agent For Employees,Gurugram,Y Combinator,Seed/ Angel Funding,,2018,Jul_2018.csv
2.0,02/07/2018,Biryani By Kilo,Consumer Internet,Online Food Delivery,Gurugram,Ajay Relan and Vinay Mittal,Seed/ Angel Funding,"1,000,000",2018,Jul_2018.csv
3.0,04/07/2018,Anchanto,IT,E-commerce Fulfilment Platform,Pune,MDI Ventures & Telkom Indonesia,Private Equity,"4,000,000",2018,Jul_2018.csv
4.0,05/072018,Loan Tap,Consumer Internet,Online Lending Platform For Salaried Professionals,Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital",Private Equity,"62,50,000",2018,Jul_2018.csv
5.0,06/07/2018,PolicyBazaar,Consumer Internet,Online Insurance Selling Platform,Gurugram,Info Edge (India) Ltd and Temasek,Private Equity,"2,7700,000",2018,Jul_2018.csv
6.0,09/07/2018,zippserv,Consumer Internet,Online Platform For Risk-Assessment Services For Real Estate Investments,Bengaluru,Info Edge (India) Ltd,Seed/ Angel Funding,"440,000",2018,Jul_2018.csv
7.0,09/07/2018,Groww,Consumer Internet,Online Platform That Sells Direct Plans Of Mutual Funds,Bengaluru,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed/ Angel Funding,"1,100,000",2018,Jul_2018.csv
8.0,10/07/2018,Avenue Growth,Consumer Internet,Online Platform That Connects Brands With Freelance Sales Professionals,Gurugram,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Seed/ Angel Funding,"437,000",2018,Jul_2018.csv
9.0,10/07/2018,iNICU,Healthcare,Med-tech Platform Providing Care For Newborns,Delhi,Venture Catalysts,Seed/ Angel Funding,,2018,Jul_2018.csv
10.0,10/07/2018,Kinara Capital,Finance,Lending Platform For Micro and Small Enterprises,Bengaluru,ResponsAbility,Private Equity,"5,000,000",2018,Jul_2018.csv
11.0,10/07/2018,Shop 101,Consumer Internet,Mobile Storefront And Commerce Platform For Sellers,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma",Private Equity,"5,000,000",2018,Jul_2018.csv
12.0,11/07/2018,Sambandh,Consumer Internet,Online Micro Lending Platform,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Private Equity,"2,500,000",2018,Jul_2018.csv
13.0,12/07/2018,19th mile,IT,Artificial intelligence-based sales acceleration software platform,Gurugram,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",Seed/ Angel Funding,"180,000",2018,Jul_2018.csv
14.0,12/07/2018,5th Vital,Healthcare,Home diagnostics services provider,Bengaluru,Brand Capital and Others,Seed/ Angel Funding,"500,000",2018,Jul_2018.csv
