Region,Baseline,Metric,P(SFTNN_better),P(SFTNN_worse),P(tie),n_paired_boot
Europe,TabNet (baseline),Precision,0.7535,0.2455,0.0010000000000000564,2000
Europe,TabNet (baseline),Recall,0.235,0.7125,0.05249999999999999,2000
Europe,TabNet (baseline),F1,0.4675,0.5315,0.0010000000000000009,2000
Europe,TabNet (baseline),ROC-AUC,0.563,0.437,5.551115123125783e-17,2000
Europe,TabNet (baseline),PR-AUC,0.065,0.935,0.0,2000
Latin America,Standard MLP (baseline),Accuracy,0.5745,0.305,0.1205,2000
Latin America,Standard MLP (baseline),Precision,0.8795,0.1145,0.006000000000000047,2000
Latin America,Standard MLP (baseline),Recall,0.0,0.96,0.040000000000000036,2000
Latin America,Standard MLP (baseline),F1,0.3365,0.653,0.010499999999999954,2000
Latin America,Standard MLP (baseline),ROC-AUC,0.036,0.964,0.0,2000
Latin America,Standard MLP (baseline),PR-AUC,0.0195,0.9805,0.0,2000
Latin America,XGBoost (baseline),Accuracy,0.184,0.5895,0.22650000000000003,2000
Latin America,XGBoost (baseline),Precision,0.596,0.34,0.064,2000
Latin America,XGBoost (baseline),Recall,0.0,0.861,0.139,2000
Latin America,XGBoost (baseline),F1,0.125,0.815,0.06000000000000005,2000
Latin America,XGBoost (baseline),ROC-AUC,0.021,0.9785,0.0004999999999999449,2000
Latin America,XGBoost (baseline),PR-AUC,0.002,0.998,0.0,2000
Latin America,TabNet (baseline),Accuracy,0.0995,0.7655,0.135,2000
Latin America,TabNet (baseline),Precision,0.045,0.906,0.04899999999999993,2000
Latin America,TabNet (baseline),Recall,0.3675,0.328,0.30450000000000005,2000
Latin America,TabNet (baseline),F1,0.2635,0.699,0.03749999999999998,2000
Latin America,TabNet (baseline),ROC-AUC,0.437,0.5625,0.0004999999999999449,2000
Latin America,TabNet (baseline),PR-AUC,0.2095,0.7905,0.0,2000
North America,Standard MLP (baseline),Accuracy,0.891,0.096,0.012999999999999984,2000
North America,Standard MLP (baseline),Precision,1.0,0.0,0.0,2000
North America,Standard MLP (baseline),Recall,0.0,1.0,0.0,2000
North America,Standard MLP (baseline),F1,0.4205,0.5795,0.0,2000
North America,Standard MLP (baseline),ROC-AUC,0.798,0.202,-5.551115123125783e-17,2000
North America,Standard MLP (baseline),PR-AUC,0.486,0.514,0.0,2000
North America,XGBoost (baseline),Accuracy,0.2755,0.7025,0.02199999999999991,2000
North America,XGBoost (baseline),Precision,0.0,1.0,0.0,2000
North America,XGBoost (baseline),Recall,1.0,0.0,0.0,2000
