Region,n,Recall (region-specific),Recall (mean embedding),F1 (region-specific),F1 (mean embedding),Recall_drop,F1_drop
Africa,24,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0
East Asia,244,0.5619047619047619,0.5714285714285714,0.5784313725490197,0.5825242718446602,-0.00952380952380949,-0.004092899295640495
Europe,1159,0.6377440347071583,0.6594360086767896,0.6829268292682927,0.6823793490460157,-0.021691973969631295,0.0005474802222770192
Latin America,105,0.5263157894736842,0.5263157894736842,0.6451612903225806,0.6451612903225806,0.0,0.0
North America,3589,0.7808499743983615,0.7552483358934972,0.7810499359795134,0.7732634338138925,0.0256016385048643,0.007786502165620934
South Asia,111,0.5789473684210527,0.5789473684210527,0.6376811594202898,0.6376811594202898,0.0,0.0
Southeast Asia,76,0.625,0.65625,0.6349206349206349,0.65625,-0.03125,-0.021329365079365115
