startup_name,city,industry,sub_vertical,investors,investment_type,amount_usd,amount_flag_check_currency,funding_date,founding_date,founders,country,region_group,year_folder,source_file
Inshorts,Noida,Internet,Built Inshorts with a promise to deliver news,Vy Capital,,60000000.0,False,,2013.0,Azhar Iqubal,India,South Asia,2021,Jul_2021.csv
Digantara,Bangalore,SpaceTech,"Digantara is an Indian Space Technology Company incubated at Indian Institute of Science (IISc), establishing a space-based surveillance platform with global realtime earth coverage",Kalaari Capital,Seed Funding,2500000.0,False,,2018.0,"Anirudh N Sharma, Rahul Rawat, Tanveer Ahmed",India,South Asia,2021,Jul_2021.csv
Aqgromalin,Chennai,AgriTech,Aqgormalin is a tech driven farm diversification platform enabling farmers to diversify into Animal Husbandry and Aquaculture.,Zephyr Peacock,Seed Funding,700000.0,False,,2018.0,"Prasanna Manogaran, Bharani CL",India,South Asia,2021,Jul_2021.csv
Square Yards,Gurugram,Real Estate,India’s largest tech enabled Real Estate Brokerage and Mortgage Marketplace,ADM Capital,,25000000.0,False,,2014.0,Tanuj Shori,India,South Asia,2021,Jul_2021.csv
Oyo,Gurugram,Hospitality,OYO is a global platform that empowers entrepreneurs and small businesses with hotels and homes by providing full-stack technology,"SoftBank Vision Fund, Hindustan Media Venture",,660000000.0,False,,2013.0,Ritesh Agarwal,India,South Asia,2021,Jul_2021.csv
Slang Labs,Bangalore,Computer software,Slang Labs provides accurate and multilingual in-app voice assistants for Android and web apps,100x Entrepreneurs,,,False,,2017.0,Kumar Rangarajan,India,South Asia,2021,Jul_2021.csv
NirogGyan,Gurugram,Healthcare,"Simplifying Diagnostics for labs, doctors, and people.","Healthcare veterans, PIEDS",Seed Funding,,False,,2019.0,"Joyneel Acharya, Shweta Gandhi",India,South Asia,2021,Jul_2021.csv
Ola Electric,Bangalore,Automotive,Ola Electric - The future of mobility is here.  Charging ahead to accelerate the world’s transition to sustainable mobility.,Bank of Baroda,Debt,100000000.0,False,,2017.0,Bhavish Aggarwal,India,South Asia,2021,Jul_2021.csv
Bikry app,Noida,Consumer software,"Bikry, a Direct-to-Customer platform to start your online store within 30 seconds at 0% commission",YCombinator,,1300000.0,False,,2019.0,Abhishek Bhayana,India,South Asia,2021,Jul_2021.csv
Oliveboard,Bangalore,EdTech,Oliveboard is the top exam preparation platform for Banking & Government Exams.,IAN Fund,,3000000.0,False,,2012.0,"Abhishek Patil, V Satish Kumar",India,South Asia,2021,Jul_2021.csv
Little Leap,New Delhi,EdTech,Soft Skills that make Smart Leaders,Vishal Gupta,Unknown,,False,,2020.0,Holistic Development Programs for children in age range 5-15,India,South Asia,2021,Jul_2021.csv
Trell,Bangalore,Social commerce,India's Largest Lifestyle Social Commerce platform. Empowering millions of storytellers & Micro-Entrepreneurs.,"Mirae Asset, H&M",Series B,45000000.0,False,,2016.0,"Pulkit Agarwal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba",India,South Asia,2021,Jul_2021.csv
Kredent,Kolkata,EdTech,Kredent Academy is the unique concept where financial market professionals have taken the onus of creating a strong knowledge bank in their area of expertise,Kotak Securities,,1000000.0,False,,2008.0,"Vineet Patawari, Vivek Bajaj, Vinay Pagaria",India,South Asia,2021,Jul_2021.csv
EasyAspataal,Mumbai,Healthcare,India’s First Digital Admission Desk for Hospitalisation.,Venture Catalysts,Seed Funding,500000.0,False,,2020.0,"Manoj Gupta, Gunjali Kothari",India,South Asia,2021,Jul_2021.csv
Smoor,Bangalore,Food & Beverages,Instigate your sixth sense with our new range of chocolates.,Klub,,,False,,2008.0,Vimal Sharma,India,South Asia,2021,Jul_2021.csv
Pankhuri,Bangalore,Social community,"Pankhuri is a women's only community for members to socialize, explore and upskill through live interactive courses, expert chat and interest-based clubs.",Sequoia’s Surge,,3200000.0,False,,2019.0,Pankhuri Shrivastava,India,South Asia,2021,Jul_2021.csv
Arcana,Bangalore,Information Technology,Arcana is the Storage Layer of Ethereum.,Balaji Srinivasan,Seed Funding,370000.0,False,,2019.0,"Mayur Relekar, Aravindh Kumar, Abhishek Chaudhary",India,South Asia,2021,Jul_2021.csv
AdmitKard,Noida,EdTech,A tech solution for end to end career advisory to students looking to study abroad.,$1000000,,,False,,2016.0,"Vamsi Krishna, Pulkit Jain, Gaurav Munjal	#REF!",India,South Asia,2021,Jul_2021.csv
