Region,Baseline,Metric,P(SFTNN_better),P(SFTNN_worse),P(tie),n_paired_boot
AGGREGATE,Standard MLP (baseline),Accuracy,0.0035,0.995,0.0015000000000000568,2000
AGGREGATE,Standard MLP (baseline),Precision,1.0,0.0,0.0,2000
AGGREGATE,Standard MLP (baseline),Recall,0.0,1.0,0.0,2000
AGGREGATE,Standard MLP (baseline),F1,0.0,1.0,0.0,2000
AGGREGATE,Standard MLP (baseline),ROC-AUC,0.968,0.032,2.7755575615628914e-17,2000
AGGREGATE,Standard MLP (baseline),PR-AUC,0.998,0.002,1.734723475976807e-18,2000
AGGREGATE,XGBoost (baseline),Accuracy,0.0,1.0,0.0,2000
AGGREGATE,XGBoost (baseline),Precision,1.0,0.0,0.0,2000
AGGREGATE,XGBoost (baseline),Recall,0.0,1.0,0.0,2000
AGGREGATE,XGBoost (baseline),F1,0.0,1.0,0.0,2000
AGGREGATE,XGBoost (baseline),ROC-AUC,0.0195,0.9805,0.0,2000
AGGREGATE,XGBoost (baseline),PR-AUC,0.0585,0.9415,0.0,2000
AGGREGATE,TabNet (baseline),Accuracy,0.0005,0.9995,0.0,2000
AGGREGATE,TabNet (baseline),Precision,1.0,0.0,0.0,2000
AGGREGATE,TabNet (baseline),Recall,0.0,1.0,0.0,2000
AGGREGATE,TabNet (baseline),F1,0.0,1.0,0.0,2000
AGGREGATE,TabNet (baseline),ROC-AUC,0.979,0.021,1.734723475976807e-17,2000
AGGREGATE,TabNet (baseline),PR-AUC,0.6355,0.3645,5.551115123125783e-17,2000
Africa,Standard MLP (baseline),Accuracy,0.355,0.344,0.30100000000000005,2000
Africa,Standard MLP (baseline),Precision,0.0815,0.0845,0.834,2000
Africa,Standard MLP (baseline),Recall,0.355,0.344,0.30100000000000005,2000
Africa,Standard MLP (baseline),F1,0.355,0.344,0.30100000000000005,2000
Africa,Standard MLP (baseline),ROC-AUC,0.9339669834917459,0.04752376188094047,0.018509254627313634,1999
Africa,Standard MLP (baseline),PR-AUC,0.959479739869935,0.022011005502751375,0.01850925462731367,1999
Africa,XGBoost (baseline),Accuracy,0.0,0.6375,0.36250000000000004,2000
Africa,XGBoost (baseline),Precision,0.0,0.0845,0.9155,2000
Africa,XGBoost (baseline),Recall,0.0,0.6375,0.36250000000000004,2000
Africa,XGBoost (baseline),F1,0.0,0.6375,0.36250000000000004,2000
Africa,XGBoost (baseline),ROC-AUC,0.7518759379689844,0.15307653826913456,0.095047523761881,1999
Africa,XGBoost (baseline),PR-AUC,0.8134067033516759,0.09404702351175588,0.09254627313656826,1999
Africa,TabNet (baseline),Accuracy,0.6205,0.1875,0.19199999999999995,2000
Africa,TabNet (baseline),Precision,0.594,0.0845,0.3215,2000
Africa,TabNet (baseline),Recall,0.355,0.344,0.30100000000000005,2000
Africa,TabNet (baseline),F1,0.533,0.337,0.12999999999999995,2000
Africa,TabNet (baseline),ROC-AUC,0.9874937468734367,0.0005002501250625312,0.012006003001500752,1999
Africa,TabNet (baseline),PR-AUC,0.9864932466233116,0.0,0.013506753376688385,1999
East Asia,Standard MLP (baseline),Accuracy,0.8785,0.092,0.029500000000000054,2000
East Asia,Standard MLP (baseline),Precision,1.0,0.0,0.0,2000
East Asia,Standard MLP (baseline),Recall,0.0,1.0,0.0,2000
East Asia,Standard MLP (baseline),F1,0.0155,0.9845,0.0,2000
East Asia,Standard MLP (baseline),ROC-AUC,0.482,0.517,0.0010000000000000009,2000
East Asia,Standard MLP (baseline),PR-AUC,0.624,0.376,0.0,2000
East Asia,XGBoost (baseline),Accuracy,0.777,0.1785,0.044499999999999984,2000
East Asia,XGBoost (baseline),Precision,1.0,0.0,0.0,2000
East Asia,XGBoost (baseline),Recall,0.0,1.0,0.0,2000
East Asia,XGBoost (baseline),F1,0.026,0.973,0.0010000000000000009,2000
East Asia,XGBoost (baseline),ROC-AUC,0.2685,0.731,0.000500000000000056,2000
East Asia,XGBoost (baseline),PR-AUC,0.4155,0.5845,0.0,2000
East Asia,TabNet (baseline),Accuracy,0.942,0.0465,0.011500000000000052,2000
East Asia,TabNet (baseline),Precision,1.0,0.0,0.0,2000
East Asia,TabNet (baseline),Recall,0.0,1.0,0.0,2000
East Asia,TabNet (baseline),F1,0.0405,0.959,0.000500000000000056,2000
East Asia,TabNet (baseline),ROC-AUC,0.7285,0.2715,-5.551115123125783e-17,2000
East Asia,TabNet (baseline),PR-AUC,0.411,0.589,0.0,2000
Europe,Standard MLP (baseline),Accuracy,0.7935,0.1885,0.018000000000000016,2000
Europe,Standard MLP (baseline),Precision,1.0,0.0,0.0,2000
Europe,Standard MLP (baseline),Recall,0.0,1.0,0.0,2000
Europe,Standard MLP (baseline),F1,0.0,1.0,0.0,2000
Europe,Standard MLP (baseline),ROC-AUC,0.9595,0.0405,-2.0816681711721685e-17,2000
Europe,Standard MLP (baseline),PR-AUC,0.9995,0.0005,-5.5077470362263625e-17,2000
Europe,XGBoost (baseline),Accuracy,0.049,0.942,0.009000000000000008,2000
Europe,XGBoost (baseline),Precision,1.0,0.0,0.0,2000
Europe,XGBoost (baseline),Recall,0.0,1.0,0.0,2000
Europe,XGBoost (baseline),F1,0.0,1.0,0.0,2000
Europe,XGBoost (baseline),ROC-AUC,0.2935,0.7065,0.0,2000
Europe,XGBoost (baseline),PR-AUC,0.216,0.784,0.0,2000
Europe,TabNet (baseline),Accuracy,0.661,0.318,0.020999999999999963,2000
Europe,TabNet (baseline),Precision,1.0,0.0,0.0,2000
Europe,TabNet (baseline),Recall,0.0,1.0,0.0,2000
Europe,TabNet (baseline),F1,0.0,1.0,0.0,2000
Europe,TabNet (baseline),ROC-AUC,0.7605,0.2395,5.551115123125783e-17,2000
Europe,TabNet (baseline),PR-AUC,0.6285,0.3715,5.551115123125783e-17,2000
Latin America,Standard MLP (baseline),Accuracy,0.458,0.4355,0.10650000000000004,2000
Latin America,Standard MLP (baseline),Precision,1.0,0.0,0.0,2000
Latin America,Standard MLP (baseline),Recall,0.0,0.9995,0.0004999999999999449,2000
Latin America,Standard MLP (baseline),F1,0.0665,0.9325,0.0010000000000000009,2000
Latin America,Standard MLP (baseline),ROC-AUC,0.272,0.7235,0.0044999999999999485,2000
Latin America,Standard MLP (baseline),PR-AUC,0.392,0.608,0.0,2000
Latin America,XGBoost (baseline),Accuracy,0.2345,0.6775,0.08800000000000008,2000
Latin America,XGBoost (baseline),Precision,0.9965,0.0,0.0034999999999999476,2000
Latin America,XGBoost (baseline),Recall,0.0,0.999,0.0010000000000000009,2000
Latin America,XGBoost (baseline),F1,0.033,0.966,0.0010000000000000009,2000
Latin America,XGBoost (baseline),ROC-AUC,0.135,0.8635,0.0014999999999999458,2000
Latin America,XGBoost (baseline),PR-AUC,0.0515,0.9485,0.0,2000
Latin America,TabNet (baseline),Accuracy,0.079,0.8375,0.08350000000000002,2000
Latin America,TabNet (baseline),Precision,0.8655,0.0,0.13449999999999995,2000
Latin America,TabNet (baseline),Recall,0.0,0.993,0.007000000000000006,2000
Latin America,TabNet (baseline),F1,0.019,0.979,0.0020000000000000018,2000
Latin America,TabNet (baseline),ROC-AUC,0.7115,0.288,0.0005000000000000004,2000
Latin America,TabNet (baseline),PR-AUC,0.625,0.375,0.0,2000
North America,Standard MLP (baseline),Accuracy,0.0,1.0,0.0,2000
North America,Standard MLP (baseline),Precision,1.0,0.0,0.0,2000
North America,Standard MLP (baseline),Recall,0.0,1.0,0.0,2000
North America,Standard MLP (baseline),F1,0.0,1.0,0.0,2000
North America,Standard MLP (baseline),ROC-AUC,0.923,0.077,-4.163336342344337e-17,2000
North America,Standard MLP (baseline),PR-AUC,0.9655,0.0345,-2.7755575615628914e-17,2000
North America,XGBoost (baseline),Accuracy,0.0,1.0,0.0,2000
North America,XGBoost (baseline),Precision,1.0,0.0,0.0,2000
North America,XGBoost (baseline),Recall,0.0,1.0,0.0,2000
North America,XGBoost (baseline),F1,0.0,1.0,0.0,2000
North America,XGBoost (baseline),ROC-AUC,0.2175,0.7825,0.0,2000
North America,XGBoost (baseline),PR-AUC,0.1815,0.8185,0.0,2000
North America,TabNet (baseline),Accuracy,0.0,1.0,0.0,2000
North America,TabNet (baseline),Precision,1.0,0.0,0.0,2000
North America,TabNet (baseline),Recall,0.0,1.0,0.0,2000
North America,TabNet (baseline),F1,0.0,1.0,0.0,2000
North America,TabNet (baseline),ROC-AUC,0.9735,0.0265,-3.122502256758253e-17,2000
North America,TabNet (baseline),PR-AUC,0.763,0.237,0.0,2000
South Asia,Standard MLP (baseline),Accuracy,0.7465,0.1805,0.07299999999999995,2000
South Asia,Standard MLP (baseline),Precision,0.998,0.001,0.0010000000000000018,2000
South Asia,Standard MLP (baseline),Recall,0.0,0.997,0.0030000000000000027,2000
South Asia,Standard MLP (baseline),F1,0.1595,0.8325,0.008000000000000007,2000
South Asia,Standard MLP (baseline),ROC-AUC,1.0,0.0,0.0,2000
South Asia,Standard MLP (baseline),PR-AUC,1.0,0.0,0.0,2000
South Asia,XGBoost (baseline),Accuracy,0.047,0.9005,0.05249999999999999,2000
South Asia,XGBoost (baseline),Precision,0.8255,0.1325,0.04199999999999998,2000
South Asia,XGBoost (baseline),Recall,0.0,0.998,0.0020000000000000018,2000
South Asia,XGBoost (baseline),F1,0.0085,0.991,0.000500000000000056,2000
South Asia,XGBoost (baseline),ROC-AUC,0.424,0.5715,0.0045000000000000595,2000
South Asia,XGBoost (baseline),PR-AUC,0.332,0.668,-1.1102230246251565e-16,2000
South Asia,TabNet (baseline),Accuracy,0.4425,0.449,0.10849999999999999,2000
South Asia,TabNet (baseline),Precision,0.9875,0.01,0.0024999999999999554,2000
South Asia,TabNet (baseline),Recall,0.026,0.9465,0.02749999999999997,2000
South Asia,TabNet (baseline),F1,0.1495,0.8475,0.0030000000000000027,2000
South Asia,TabNet (baseline),ROC-AUC,0.983,0.0165,0.0005000000000000143,2000
South Asia,TabNet (baseline),PR-AUC,0.978,0.022,2.0816681711721685e-17,2000
Southeast Asia,Standard MLP (baseline),Accuracy,0.178,0.744,0.07800000000000007,2000
Southeast Asia,Standard MLP (baseline),Precision,0.949,0.0445,0.006500000000000047,2000
Southeast Asia,Standard MLP (baseline),Recall,0.0,1.0,0.0,2000
Southeast Asia,Standard MLP (baseline),F1,0.0155,0.9835,0.0010000000000000009,2000
Southeast Asia,Standard MLP (baseline),ROC-AUC,0.065,0.934,0.0010000000000000009,2000
Southeast Asia,Standard MLP (baseline),PR-AUC,0.218,0.782,0.0,2000
Southeast Asia,XGBoost (baseline),Accuracy,0.206,0.6895,0.10450000000000004,2000
Southeast Asia,XGBoost (baseline),Precision,0.9215,0.07,0.008500000000000008,2000
Southeast Asia,XGBoost (baseline),Recall,0.0,0.999,0.0010000000000000009,2000
Southeast Asia,XGBoost (baseline),F1,0.0365,0.962,0.0015000000000000568,2000
Southeast Asia,XGBoost (baseline),ROC-AUC,0.022,0.978,0.0,2000
Southeast Asia,XGBoost (baseline),PR-AUC,0.158,0.842,0.0,2000
Southeast Asia,TabNet (baseline),Accuracy,0.1595,0.7595,0.08100000000000007,2000
Southeast Asia,TabNet (baseline),Precision,0.935,0.055,0.009999999999999946,2000
Southeast Asia,TabNet (baseline),Recall,0.0,0.9995,0.0004999999999999449,2000
Southeast Asia,TabNet (baseline),F1,0.016,0.983,0.0010000000000000009,2000
Southeast Asia,TabNet (baseline),ROC-AUC,0.068,0.9315,0.0004999999999999449,2000
Southeast Asia,TabNet (baseline),PR-AUC,0.166,0.834,0.0,2000
