source_section,rank,country,name,url,industry,headquarters,year_founded,founders,funding_amount,last_funding_status,top_investors
table,65,Malaysia,TTN,https://tantannews.com/,Marketing,,2012,,MYR2M,Corporate Round,
table,66,Malaysia,Kapitani,https://www.kapitani.co/,AgTech,,2020,,MYR200k,Pre-Seed,
table,67,Malaysia,Happy Bunch,http://www.happybunch.com.my/,Retail,,2014,,$971.4k,Equity Crowdfunding,
table,68,Malaysia,Lokein,https://www.lokein.my/,Retail,,2019,,$547k,Grant,
table,69,Malaysia,Shoppego,https://shoppego.com/,Marketing,,2019,,MYR700k,Grant,
table,70,Malaysia,BookDoc,https://www.bookdoc.com/,Healthcare,,2015,,$2M,Venture Round,
table,71,Malaysia,Fashion Library Berhad,http://flib.my/,Fashion,,2017,,MYR7.2M,Pre-Seed,
table,72,Malaysia,TailorTech,http://www.tailortech.com.my/,Enterprise,,2016,,$110k,Pre-Seed,
table,73,Malaysia,BabyDash,https://www.babydash.com.my/,Enterprise,,2011,,MYR3.3M,Equity Crowdfunding,
table,74,Malaysia,Blinkware Technology,http://blinkwaretechnology.com/,AI,,2013,,MYR1M,Corporate Round,
table,75,Malaysia,Otter Barista,https://otterbarista.com/,Food,,2021,,MYR260k,Pre-Seed,
table,76,Malaysia,MyCash Online,http://mycashmy.com/,Retail,,2016,,CN¥1.3M,Venture Round,
table,77,Malaysia,Surveymy,https://www.surveymy.com/,Media,,2009,,£2M,Equity Crowdfunding,
table,78,Malaysia,CARE Concierge,https://mycareconcierge.com/,Healthcare,,2017,,MYR300k,Undisclosed,
table,79,Malaysia,DIDIGO,http://www.didigo.com.my/,Mobility,,2019,,$50k,Pre-Seed,
table,80,Malaysia,Reyhut,https://reyhut.com/,Travel,,2024,,MYR320k,Pre-Seed,
table,81,Malaysia,TrackerHero,https://www.trackerhero.com/,Enterprise,,2016,,MYR900k,Debt Financing,
table,82,Malaysia,Bjak,https://bjak.com/,InsurTech,,2019,,—,—,
table,83,Malaysia,RentGuard,https://rentguard.com.my/,Fintech,,2016,,MYR1.5M,Seed,
table,84,Malaysia,Supplybunny,http://www.supplybunny.com/,Food,,2016,,$300k,Seed,
table,85,Malaysia,The Custom Movement,https://www.thecustommovement.com/,Communications,,2000,,$150k,Seed,
table,86,Malaysia,ZeroHero,https://www.zerohero.my/,Retail,,2020,,$196k,Pre-Seed,
table,87,Malaysia,KryptoPOS,https://kryptopos.com/,Infrastructure,,2017,,MYR790k,Seed,
table,88,Malaysia,Unearth,https://www.unearthstore.com/,Retail,,2021,,MYR150k,Seed,
table,89,Malaysia,24 Dokan,https://www.24dokan.com/,Retail,,2020,,$250k,Seed,
table,90,Malaysia,Payex,https://www.payex.io/,Retail,,2020,,$253k,Corporate Round,
table,91,Malaysia,The Rainmakers,https://www.therainmakers.xyz/,Real Estate,,2022,,MYR540k,Pre-Seed,
table,92,Malaysia,WIPDATA,https://www.wipdata.com/,Enterprise,,2019,,$151.8k,Seed,
table,93,Malaysia,ERTH,https://www.erth.app/,Hardware,,2018,,MYR350k,Venture Round,
table,94,Malaysia,Agiliux,https://www.agiliux.com/,InsurTech,,2020,,$46.4k,—,
table,95,Malaysia,Anak2U,http://anak2u.com.my/,SaaS,,2019,,MYR850k,Pre-Seed,
table,96,Malaysia,ROGER,https://www.roger.com.my/,Mobility,,2019,,MYR1.3M,Angel,
table,97,Malaysia,ATX Group,http://www.atx.my/,Fintech,,2011,,$46.4k,Pre-Seed,
table,98,Malaysia,AZR,http://www.azrtek.com/,Mobility,,2019,,$250k,Pre-Seed,
table,99,Malaysia,Revo,https://revopod.com/,Infrastructure,,2020,,$50k,Pre-Seed,
table,100,Malaysia,BiiB,https://getbiib.com/,Sports,,2015,,$46.4k,Pre-Seed,
