Region,n,Recall (region-specific),Recall (mean embedding),F1 (region-specific),F1 (mean embedding),Recall_drop,F1_drop
Africa,24,0.6666666666666666,0.6666666666666666,0.7272727272727273,0.7272727272727273,0.0,0.0
East Asia,244,0.5714285714285714,0.5904761904761905,0.6030150753768844,0.6138613861386139,-0.01904761904761909,-0.010846310761729483
Europe,1159,0.6008676789587852,0.6594360086767896,0.6690821256038647,0.6831460674157304,-0.05856832971800441,-0.014063941811865655
Latin America,105,0.5,0.5,0.6229508196721312,0.6229508196721312,0.0,0.0
North America,3589,0.7967229902713774,0.7450076804915514,0.7824993713854664,0.7655880031570639,0.05171530977982597,0.016911368228402557
South Asia,111,0.5526315789473685,0.5789473684210527,0.6268656716417911,0.6376811594202898,-0.02631578947368418,-0.010815487778498722
Southeast Asia,76,0.625,0.625,0.6060606060606061,0.6060606060606061,0.0,0.0
