Region,Baseline,Metric,P(SFTNN_better),P(SFTNN_worse),P(tie),n_paired_boot
AGGREGATE,Standard MLP (baseline),Accuracy,0.817,0.171,0.012000000000000038,2000
AGGREGATE,Standard MLP (baseline),Precision,1.0,0.0,0.0,2000
AGGREGATE,Standard MLP (baseline),Recall,0.0,1.0,0.0,2000
AGGREGATE,Standard MLP (baseline),F1,0.334,0.666,-1.1102230246251565e-16,2000
AGGREGATE,Standard MLP (baseline),ROC-AUC,0.62,0.38,0.0,2000
AGGREGATE,Standard MLP (baseline),PR-AUC,0.621,0.379,0.0,2000
AGGREGATE,XGBoost (baseline),Accuracy,0.0155,0.981,0.0035000000000000586,2000
AGGREGATE,XGBoost (baseline),Precision,0.0,1.0,0.0,2000
AGGREGATE,XGBoost (baseline),Recall,1.0,0.0,0.0,2000
AGGREGATE,XGBoost (baseline),F1,0.531,0.469,0.0,2000
AGGREGATE,XGBoost (baseline),ROC-AUC,0.0005,0.9995,0.0,2000
AGGREGATE,XGBoost (baseline),PR-AUC,0.0,1.0,0.0,2000
AGGREGATE,TabNet (baseline),Accuracy,0.497,0.484,0.019000000000000017,2000
AGGREGATE,TabNet (baseline),Precision,0.2925,0.7075,0.0,2000
AGGREGATE,TabNet (baseline),Recall,0.8175,0.1665,0.015999999999999986,2000
AGGREGATE,TabNet (baseline),F1,0.6235,0.3765,-5.551115123125783e-17,2000
AGGREGATE,TabNet (baseline),ROC-AUC,0.75,0.25,0.0,2000
AGGREGATE,TabNet (baseline),PR-AUC,0.057,0.943,0.0,2000
Africa,Standard MLP (baseline),Accuracy,0.6025,0.19,0.20749999999999996,2000
Africa,Standard MLP (baseline),Precision,0.106,0.572,0.32200000000000006,2000
Africa,Standard MLP (baseline),Recall,0.876,0.0,0.124,2000
Africa,Standard MLP (baseline),F1,0.8375,0.1065,0.05599999999999998,2000
Africa,Standard MLP (baseline),ROC-AUC,0.9214607303651826,0.06603301650825413,0.012506253126563255,1999
Africa,Standard MLP (baseline),PR-AUC,0.9019509754877438,0.0895447723861931,0.008504252126063067,1999
Africa,XGBoost (baseline),Accuracy,0.3395,0.351,0.3095,2000
Africa,XGBoost (baseline),Precision,0.0245,0.6265,0.3490000000000001,2000
Africa,XGBoost (baseline),Recall,0.6365,0.0,0.36350000000000005,2000
Africa,XGBoost (baseline),F1,0.5705,0.2875,0.14200000000000002,2000
Africa,XGBoost (baseline),ROC-AUC,0.6758379189594798,0.2481240620310155,0.07603801900950474,1999
Africa,XGBoost (baseline),PR-AUC,0.6233116558279139,0.3281640820410205,0.04852426213106559,1999
Africa,TabNet (baseline),Accuracy,0.876,0.0,0.124,2000
Africa,TabNet (baseline),Precision,0.599,0.0,0.401,2000
Africa,TabNet (baseline),Recall,0.876,0.0,0.124,2000
Africa,TabNet (baseline),F1,0.876,0.0,0.124,2000
Africa,TabNet (baseline),ROC-AUC,0.9794897448724362,0.010005002501250625,0.010505252626313145,1999
Africa,TabNet (baseline),PR-AUC,0.9294647323661831,0.06253126563281641,0.008004002001000488,1999
East Asia,Standard MLP (baseline),Accuracy,0.5595,0.349,0.09150000000000003,2000
East Asia,Standard MLP (baseline),Precision,0.8105,0.1855,0.0040000000000000036,2000
East Asia,Standard MLP (baseline),Recall,0.027,0.935,0.03799999999999992,2000
East Asia,Standard MLP (baseline),F1,0.24,0.7585,0.0015000000000000568,2000
East Asia,Standard MLP (baseline),ROC-AUC,0.202,0.7975,0.000500000000000056,2000
East Asia,Standard MLP (baseline),PR-AUC,0.4335,0.5665,0.0,2000
East Asia,XGBoost (baseline),Accuracy,0.2495,0.688,0.0625,2000
East Asia,XGBoost (baseline),Precision,0.1505,0.8445,0.0050000000000000044,2000
East Asia,XGBoost (baseline),Recall,0.805,0.123,0.07199999999999995,2000
East Asia,XGBoost (baseline),F1,0.5555,0.44,0.004500000000000004,2000
East Asia,XGBoost (baseline),ROC-AUC,0.104,0.8955,0.000500000000000056,2000
East Asia,XGBoost (baseline),PR-AUC,0.268,0.732,0.0,2000
