Region,Baseline,Metric,P(SFTNN_better),P(SFTNN_worse),P(tie),n_paired_boot
AGGREGATE,Standard MLP (baseline),Accuracy,0.8615,0.1255,0.012999999999999956,2000
AGGREGATE,Standard MLP (baseline),Precision,1.0,0.0,0.0,2000
AGGREGATE,Standard MLP (baseline),Recall,0.0,1.0,0.0,2000
AGGREGATE,Standard MLP (baseline),F1,0.086,0.914,0.0,2000
AGGREGATE,Standard MLP (baseline),ROC-AUC,0.451,0.549,-1.1102230246251565e-16,2000
AGGREGATE,Standard MLP (baseline),PR-AUC,0.5785,0.4215,0.0,2000
AGGREGATE,XGBoost (baseline),Accuracy,0.013,0.984,0.0030000000000000027,2000
AGGREGATE,XGBoost (baseline),Precision,0.0,1.0,0.0,2000
AGGREGATE,XGBoost (baseline),Recall,0.9985,0.001,0.0004999999999999458,2000
AGGREGATE,XGBoost (baseline),F1,0.2775,0.7225,-1.1102230246251565e-16,2000
AGGREGATE,XGBoost (baseline),ROC-AUC,0.0,1.0,0.0,2000
AGGREGATE,XGBoost (baseline),PR-AUC,0.0,1.0,0.0,2000
AGGREGATE,TabNet (baseline),Accuracy,0.55,0.4345,0.015499999999999958,2000
AGGREGATE,TabNet (baseline),Precision,0.8525,0.1475,-2.7755575615628914e-17,2000
AGGREGATE,TabNet (baseline),Recall,0.0645,0.9235,0.01200000000000001,2000
AGGREGATE,TabNet (baseline),F1,0.349,0.651,0.0,2000
AGGREGATE,TabNet (baseline),ROC-AUC,0.6565,0.3435,0.0,2000
AGGREGATE,TabNet (baseline),PR-AUC,0.044,0.956,0.0,2000
Africa,Standard MLP (baseline),Accuracy,0.6025,0.19,0.20749999999999996,2000
Africa,Standard MLP (baseline),Precision,0.106,0.572,0.32200000000000006,2000
Africa,Standard MLP (baseline),Recall,0.876,0.0,0.124,2000
Africa,Standard MLP (baseline),F1,0.8375,0.1065,0.05599999999999998,2000
Africa,Standard MLP (baseline),ROC-AUC,0.9059529764882441,0.06953476738369184,0.024512256128064028,1999
Africa,Standard MLP (baseline),PR-AUC,0.9384692346173087,0.0415207603801901,0.020010005002501212,1999
Africa,XGBoost (baseline),Accuracy,0.3395,0.351,0.3095,2000
Africa,XGBoost (baseline),Precision,0.0245,0.6265,0.3490000000000001,2000
Africa,XGBoost (baseline),Recall,0.6365,0.0,0.36350000000000005,2000
Africa,XGBoost (baseline),F1,0.5705,0.2875,0.14200000000000002,2000
Africa,XGBoost (baseline),ROC-AUC,0.3501750875437719,0.5417708854427213,0.10805402701350675,1999
Africa,XGBoost (baseline),PR-AUC,0.5642821410705353,0.35467733866933465,0.08104052026013003,1999
Africa,TabNet (baseline),Accuracy,0.876,0.0,0.124,2000
Africa,TabNet (baseline),Precision,0.599,0.0,0.401,2000
Africa,TabNet (baseline),Recall,0.876,0.0,0.124,2000
Africa,TabNet (baseline),F1,0.876,0.0,0.124,2000
Africa,TabNet (baseline),ROC-AUC,0.983991995997999,0.002001000500250125,0.01400700350175085,1999
Africa,TabNet (baseline),PR-AUC,0.983991995997999,0.0010005002501250625,0.015007503751875912,1999
East Asia,Standard MLP (baseline),Accuracy,0.9815,0.0115,0.006999999999999961,2000
East Asia,Standard MLP (baseline),Precision,1.0,0.0,0.0,2000
East Asia,Standard MLP (baseline),Recall,0.003,0.993,0.0040000000000000036,2000
East Asia,Standard MLP (baseline),F1,0.605,0.393,0.0020000000000000018,2000
East Asia,Standard MLP (baseline),ROC-AUC,0.7,0.2995,0.000500000000000056,2000
East Asia,Standard MLP (baseline),PR-AUC,0.8415,0.1585,-2.7755575615628914e-17,2000
East Asia,XGBoost (baseline),Accuracy,0.9435,0.0375,0.018999999999999996,2000
East Asia,XGBoost (baseline),Precision,0.975,0.0235,0.0015000000000000221,2000
East Asia,XGBoost (baseline),Recall,0.4415,0.4125,0.14600000000000002,2000
East Asia,XGBoost (baseline),F1,0.869,0.1285,0.0025000000000000022,2000
East Asia,XGBoost (baseline),ROC-AUC,0.4005,0.5985,0.0009999999999998899,2000
East Asia,XGBoost (baseline),PR-AUC,0.535,0.465,-5.551115123125783e-17,2000
East Asia,TabNet (baseline),Accuracy,0.9925,0.005,0.002499999999999951,2000
