Region,n,Recall (region-specific),Recall (mean embedding),F1 (region-specific),F1 (mean embedding),Recall_drop,F1_drop
Africa,24,0.6666666666666666,0.6666666666666666,0.7272727272727273,0.7272727272727273,0.0,0.0
East Asia,244,0.5333333333333333,0.5714285714285714,0.6187845303867403,0.6153846153846154,-0.03809523809523807,0.003399915002124887
Europe,1159,0.5509761388286334,0.6420824295010846,0.654639175257732,0.6875725900116144,-0.09110629067245124,-0.03293341475388245
Latin America,105,0.5526315789473685,0.5263157894736842,0.6363636363636364,0.6153846153846154,0.026315789473684292,0.020979020979020935
North America,3589,0.7880184331797235,0.7199180747567845,0.77983278439321,0.7622661968013011,0.06810035842293904,0.017566587591908878
South Asia,111,0.42105263157894735,0.5263157894736842,0.5423728813559322,0.6060606060606061,-0.10526315789473684,-0.06368772470467388
Southeast Asia,76,0.5625,0.5625,0.6,0.6,0.0,0.0
